Month,County,Inspections,Failures,Follow_Ups,Complaints,Escalations,Failure_Rate
2022-08-01,KERRY,16,2,1,13,1,0.125
2022-08-01,KILDARE,18,1,1,21,0,0.0555555555555555
2022-08-01,KILKENNY,19,8,6,15,3,0.4210526315789473
2022-08-01,LAOIS,18,6,5,18,1,0.3333333333333333
2022-08-01,LIMERICK,10,2,2,17,1,0.2
2022-08-01,LOUTH,19,4,3,9,1,0.2105263157894736
2022-08-01,MAYO,25,8,6,17,2,0.32
2022-08-01,MEATH,16,2,1,14,2,0.125
2022-08-01,MONAGHAN,18,2,2,6,1,0.1111111111111111
2022-08-01,OFFALY,8,1,1,10,0,0.125
2022-08-01,SLIGO,12,2,1,11,1,0.1666666666666666
2022-08-01,SOUTH DUBLIN,24,5,3,11,2,0.2083333333333333
2022-08-01,TIPPERARY,12,2,2,9,2,0.1666666666666666
2022-08-01,WATERFORD,17,3,2,12,1,0.1764705882352941
2022-08-01,WESTMEATH,10,2,2,11,1,0.2
2022-08-01,WEXFORD,21,4,3,14,2,0.1904761904761904
2022-08-01,WICKLOW,16,4,3,19,4,0.25
2022-09-01,CAVAN,18,2,0,5,2,0.1111111111111111
2022-09-01,CLARE,16,7,3,10,0,0.4375
2022-09-01,CORK,22,4,4,17,2,0.1818181818181818
2022-09-01,DONEGAL,9,4,4,13,2,0.4444444444444444
2022-09-01,DUBLIN CITY,20,6,2,12,1,0.3
2022-09-01,DÚN LAOGHAIRE-RATHDOWN,21,6,5,13,1,0.2857142857142857
2022-09-01,FINGAL,9,4,2,17,2,0.4444444444444444
2022-09-01,GALWAY,19,3,2,15,1,0.1578947368421052
2022-09-01,KERRY,21,4,4,9,1,0.1904761904761904
2022-09-01,KILDARE,21,8,7,11,1,0.3809523809523809
2022-09-01,KILKENNY,18,5,4,12,3,0.2777777777777778
2022-09-01,LAOIS,19,6,5,14,2,0.3157894736842105
2022-09-01,LIMERICK,25,3,3,11,1,0.12
2022-09-01,LOUTH,16,6,5,11,3,0.375
2022-09-01,MAYO,19,3,2,12,3,0.1578947368421052
2022-09-01,MEATH,12,0,0,19,2,0.0
2022-09-01,MONAGHAN,21,6,5,10,1,0.2857142857142857
2022-09-01,OFFALY,15,3,3,13,1,0.2
2022-09-01,SLIGO,19,1,0,14,0,0.0526315789473684
2022-09-01,SOUTH DUBLIN,18,5,3,14,0,0.2777777777777778
2022-09-01,TIPPERARY,16,3,2,17,3,0.1875
2022-09-01,WATERFORD,11,4,3,13,2,0.3636363636363636
2022-09-01,WESTMEATH,11,3,3,7,2,0.2727272727272727
2022-09-01,WEXFORD,13,6,5,10,1,0.4615384615384615
2022-09-01,WICKLOW,21,7,4,16,2,0.3333333333333333
2022-10-01,CAVAN,13,3,3,15,2,0.2307692307692307
2022-10-01,CLARE,18,5,6,8,2,0.2777777777777778
2022-10-01,CORK,16,3,3,13,0,0.1875
2022-10-01,DONEGAL,15,3,3,11,1,0.2
2022-10-01,DUBLIN CITY,12,1,0,10,4,0.0833333333333333
2022-10-01,DÚN LAOGHAIRE-RATHDOWN,8,2,2,9,1,0.25
2022-10-01,FINGAL,20,5,3,11,0,0.25
2022-10-01,GALWAY,20,7,4,17,3,0.35
2022-10-01,KERRY,18,4,4,13,1,0.2222222222222222
2022-10-01,KILDARE,12,2,2,12,2,0.1666666666666666
2022-10-01,KILKENNY,14,2,1,20,3,0.1428571428571428
2022-10-01,LAOIS,18,2,2,13,2,0.1111111111111111
2022-10-01,LIMERICK,18,7,6,12,1,0.3888888888888889
2022-10-01,LOUTH,19,5,4,13,0,0.2631578947368421
2022-10-01,MAYO,15,3,3,17,1,0.2
2022-10-01,MEATH,13,4,3,9,2,0.3076923076923077
2022-10-01,MONAGHAN,14,2,0,13,2,0.1428571428571428
2022-10-01,OFFALY,12,3,2,17,5,0.25
2022-10-01,SLIGO,15,3,3,14,2,0.2
2022-10-01,SOUTH DUBLIN,12,2,0,13,1,0.1666666666666666
2022-10-01,TIPPERARY,15,1,1,16,2,0.0666666666666666
2022-10-01,WATERFORD,12,4,3,12,0,0.3333333333333333
2022-10-01,WESTMEATH,9,2,2,9,0,0.2222222222222222
2022-10-01,WEXFORD,13,6,6,13,2,0.4615384615384615
2022-10-01,WICKLOW,9,3,2,13,2,0.3333333333333333
2022-11-01,CAVAN,19,5,4,18,2,0.2631578947368421
2022-11-01,CLARE,16,5,2,8,0,0.3125
2022-11-01,CORK,21,5,4,12,3,0.238095238095238
2022-11-01,DONEGAL,8,1,0,19,4,0.125
2022-11-01,DUBLIN CITY,19,5,3,15,2,0.2631578947368421
2022-11-01,DÚN LAOGHAIRE-RATHDOWN,13,0,0,12,2,0.0
2022-11-01,FINGAL,17,4,3,11,0,0.2352941176470588
2022-11-01,GALWAY,22,1,2,13,2,0.0454545454545454
2022-11-01,KERRY,15,2,2,12,1,0.1333333333333333
2022-11-01,KILDARE,18,3,1,15,2,0.1666666666666666
2022-11-01,KILKENNY,17,4,3,9,2,0.2352941176470588
2022-11-01,LAOIS,16,1,0,12,1,0.0625
2022-11-01,LIMERICK,21,5,3,10,2,0.238095238095238
2022-11-01,LOUTH,14,2,2,14,1,0.1428571428571428
2022-11-01,MAYO,20,4,1,16,4,0.2
2022-11-01,MEATH,15,5,3,10,4,0.3333333333333333
2022-11-01,MONAGHAN,16,3,2,17,7,0.1875
2022-11-01,OFFALY,16,2,2,12,1,0.125
2022-11-01,SLIGO,9,1,0,14,2,0.1111111111111111
2022-11-01,SOUTH DUBLIN,11,5,5,13,0,0.4545454545454545
2022-11-01,TIPPERARY,15,2,1,15,2,0.1333333333333333
2022-11-01,WATERFORD,15,1,0,10,3,0.0666666666666666
2022-11-01,WESTMEATH,20,1,0,12,0,0.05
2022-11-01,WEXFORD,26,4,4,13,3,0.1538461538461538
2022-11-01,WICKLOW,18,2,0,12,1,0.1111111111111111
2022-12-01,CAVAN,18,4,4,12,3,0.2222222222222222
2022-12-01,CLARE,10,0,0,12,0,0.0
2022-12-01,CORK,7,0,0,8,2,0.0
2022-12-01,DONEGAL,20,8,6,15,2,0.4
2022-12-01,DUBLIN CITY,11,3,2,12,2,0.2727272727272727
2022-12-01,DÚN LAOGHAIRE-RATHDOWN,14,5,5,12,2,0.3571428571428571
2022-12-01,FINGAL,11,2,1,11,2,0.1818181818181818
2022-12-01,GALWAY,17,2,1,15,3,0.1176470588235294
2022-12-01,KERRY,24,5,4,16,3,0.2083333333333333
2022-12-01,KILDARE,19,3,3,18,1,0.1578947368421052
2022-12-01,KILKENNY,21,3,4,17,2,0.1428571428571428
2022-12-01,LAOIS,19,4,3,12,1,0.2105263157894736
2022-12-01,LIMERICK,21,1,0,16,1,0.0476190476190476
2022-12-01,LOUTH,24,5,4,17,1,0.2083333333333333
2022-12-01,MAYO,18,6,5,18,1,0.3333333333333333
2022-12-01,MEATH,15,2,1,9,2,0.1333333333333333
2022-12-01,MONAGHAN,11,2,1,12,2,0.1818181818181818
2022-12-01,OFFALY,10,3,2,12,0,0.3
2022-12-01,SLIGO,15,3,3,14,2,0.2
2022-12-01,SOUTH DUBLIN,17,1,0,14,2,0.0588235294117647
2022-12-01,TIPPERARY,23,8,7,11,2,0.3478260869565217
2022-12-01,WATERFORD,8,3,2,21,3,0.375
2022-12-01,WESTMEATH,10,2,0,12,3,0.2
2022-12-01,WEXFORD,18,4,3,11,1,0.2222222222222222
2022-12-01,WICKLOW,21,3,3,15,2,0.1428571428571428
2023-01-01,CAVAN,22,3,2,13,1,0.1363636363636363
2023-01-01,CLARE,21,2,1,14,4,0.0952380952380952
2023-01-01,CORK,17,4,4,17,3,0.2352941176470588
2023-01-01,DONEGAL,13,1,0,15,2,0.0769230769230769
2023-01-01,DUBLIN CITY,13,4,3,16,4,0.3076923076923077
2023-01-01,DÚN LAOGHAIRE-RATHDOWN,22,4,4,9,1,0.1818181818181818
2023-01-01,FINGAL,11,3,2,11,4,0.2727272727272727
2023-01-01,GALWAY,14,3,3,9,0,0.2142857142857142
2023-01-01,KERRY,16,1,1,9,1,0.0625
2023-01-01,KILDARE,18,2,2,17,0,0.1111111111111111
2023-01-01,KILKENNY,25,3,3,11,2,0.12
2023-01-01,LAOIS,12,4,4,11,1,0.3333333333333333
2023-01-01,LIMERICK,18,1,1,11,0,0.0555555555555555
2023-01-01,LOUTH,14,3,3,16,2,0.2142857142857142
2023-01-01,MAYO,19,2,1,17,3,0.1052631578947368
2023-01-01,MEATH,16,3,2,13,2,0.1875
2023-01-01,MONAGHAN,19,2,1,9,2,0.1052631578947368
2023-01-01,OFFALY,22,6,2,21,1,0.2727272727272727
2023-01-01,SLIGO,17,3,2,13,4,0.1764705882352941
2023-01-01,SOUTH DUBLIN,23,5,5,13,1,0.217391304347826
2023-01-01,TIPPERARY,19,9,8,16,2,0.4736842105263157
2023-01-01,WATERFORD,13,1,1,20,3,0.0769230769230769
2023-01-01,WESTMEATH,17,3,0,6,2,0.1764705882352941
2023-01-01,WEXFORD,14,5,3,9,1,0.3571428571428571
2023-01-01,WICKLOW,23,3,2,21,1,0.1304347826086956
2023-02-01,CAVAN,12,0,0,10,0,0.0
2023-02-01,CLARE,17,3,3,15,3,0.1764705882352941
2023-02-01,CORK,15,3,2,9,0,0.2
2023-02-01,DONEGAL,9,4,2,11,1,0.4444444444444444
2023-02-01,DUBLIN CITY,14,3,2,7,1,0.2142857142857142
2023-02-01,DÚN LAOGHAIRE-RATHDOWN,9,0,0,7,0,0.0
2023-02-01,FINGAL,14,2,1,16,6,0.1428571428571428
2023-02-01,GALWAY,20,5,4,16,2,0.25
2023-02-01,KERRY,18,2,1,9,0,0.1111111111111111
2023-02-01,KILDARE,16,3,2,7,1,0.1875
2023-02-01,KILKENNY,12,2,1,6,0,0.1666666666666666
2023-02-01,LAOIS,13,4,2,19,1,0.3076923076923077
2023-02-01,LIMERICK,22,5,4,10,1,0.2272727272727272
2023-02-01,LOUTH,18,3,3,10,0,0.1666666666666666
2023-02-01,MAYO,13,0,0,16,2,0.0
2023-02-01,MEATH,10,2,1,15,5,0.2
2023-02-01,MONAGHAN,20,2,1,19,2,0.1
2023-02-01,OFFALY,18,4,3,18,1,0.2222222222222222
2023-02-01,SLIGO,14,3,3,8,1,0.2142857142857142
2023-02-01,SOUTH DUBLIN,8,1,1,9,0,0.125
2023-02-01,TIPPERARY,22,6,4,13,3,0.2727272727272727
2023-02-01,WATERFORD,26,7,5,8,0,0.2692307692307692
2023-02-01,WESTMEATH,8,2,2,8,1,0.25
2023-02-01,WEXFORD,15,4,3,10,1,0.2666666666666666
2023-02-01,WICKLOW,20,2,0,11,0,0.1
2023-03-01,CAVAN,19,5,2,20,3,0.2631578947368421
2023-03-01,CLARE,10,2,1,17,4,0.2
2023-03-01,CORK,15,4,3,9,1,0.2666666666666666
2023-03-01,DONEGAL,10,3,2,17,1,0.3
2023-03-01,DUBLIN CITY,16,5,3,12,4,0.3125
2023-03-01,DÚN LAOGHAIRE-RATHDOWN,15,0,0,12,1,0.0
2023-03-01,FINGAL,18,4,4,15,1,0.2222222222222222
2023-03-01,GALWAY,9,3,3,13,1,0.3333333333333333
2023-03-01,KERRY,15,2,2,9,1,0.1333333333333333
2023-03-01,KILDARE,18,5,3,15,1,0.2777777777777778
2023-03-01,KILKENNY,21,3,2,9,2,0.1428571428571428
2023-03-01,LAOIS,24,5,4,13,2,0.2083333333333333
2023-03-01,LIMERICK,14,2,1,15,3,0.1428571428571428
2023-03-01,LOUTH,12,7,6,12,0,0.5833333333333334
2023-03-01,MAYO,26,5,2,14,2,0.1923076923076923
2023-03-01,MEATH,10,1,1,17,5,0.1
2023-03-01,MONAGHAN,13,3,2,8,2,0.2307692307692307
2023-03-01,OFFALY,18,5,4,13,3,0.2777777777777778
2023-03-01,SLIGO,17,2,3,16,0,0.1176470588235294
2023-03-01,SOUTH DUBLIN,23,4,4,14,3,0.1739130434782608
2023-03-01,TIPPERARY,16,5,5,10,3,0.3125
2023-03-01,WATERFORD,10,3,2,7,0,0.3
2023-03-01,WESTMEATH,16,3,2,4,0,0.1875
2023-03-01,WEXFORD,14,5,4,14,1,0.3571428571428571
2023-03-01,WICKLOW,21,6,4,13,2,0.2857142857142857
2023-04-01,CAVAN,17,3,3,11,1,0.1764705882352941
2023-04-01,CLARE,16,5,4,14,3,0.3125
2023-04-01,CORK,13,0,0,15,2,0.0
2023-04-01,DONEGAL,8,1,1,7,1,0.125
2023-04-01,DUBLIN CITY,23,8,8,7,0,0.3478260869565217
2023-04-01,DÚN LAOGHAIRE-RATHDOWN,18,5,4,11,0,0.2777777777777778
2023-04-01,FINGAL,17,2,2,9,1,0.1176470588235294
2023-04-01,GALWAY,21,5,4,18,3,0.238095238095238
2023-04-01,KERRY,14,1,1,14,3,0.0714285714285714
2023-04-01,KILDARE,17,4,4,5,1,0.2352941176470588
2023-04-01,KILKENNY,16,3,3,9,2,0.1875
2023-04-01,LAOIS,17,5,5,11,0,0.2941176470588235
2023-04-01,LIMERICK,22,2,1,15,4,0.0909090909090909
2023-04-01,LOUTH,17,4,3,13,2,0.2352941176470588
2023-04-01,MAYO,18,8,7,15,4,0.4444444444444444
2023-04-01,MEATH,20,5,5,10,3,0.25
2023-04-01,MONAGHAN,15,5,4,10,1,0.3333333333333333
2023-04-01,OFFALY,21,7,7,9,1,0.3333333333333333
2023-04-01,SLIGO,14,0,0,8,3,0.0
2023-04-01,SOUTH DUBLIN,16,5,4,10,0,0.3125
2023-04-01,TIPPERARY,22,8,6,9,3,0.3636363636363636
2023-04-01,WATERFORD,10,3,2,10,0,0.3
2023-04-01,WESTMEATH,13,4,2,7,0,0.3076923076923077
2023-04-01,WEXFORD,18,6,5,18,1,0.3333333333333333
2023-04-01,WICKLOW,21,7,6,10,1,0.3333333333333333
2023-05-01,CAVAN,15,5,5,13,2,0.3333333333333333
2023-05-01,CLARE,16,3,2,14,5,0.1875
2023-05-01,CORK,15,3,3,10,1,0.2
2023-05-01,DONEGAL,8,3,3,7,0,0.375
2023-05-01,DUBLIN CITY,23,1,1,13,3,0.0434782608695652
2023-05-01,DÚN LAOGHAIRE-RATHDOWN,22,4,3,10,1,0.1818181818181818
2023-05-01,FINGAL,28,7,6,13,1,0.25
2023-05-01,GALWAY,11,0,0,9,3,0.0
2023-05-01,KERRY,23,4,2,15,4,0.1739130434782608
2023-05-01,KILDARE,10,0,0,6,1,0.0
2023-05-01,KILKENNY,21,4,2,15,2,0.1904761904761904
2023-05-01,LAOIS,19,4,3,9,1,0.2105263157894736
2023-05-01,LIMERICK,20,7,3,6,0,0.35
2023-05-01,LOUTH,6,1,0,5,1,0.1666666666666666
2023-05-01,MAYO,18,5,4,12,0,0.2777777777777778
2023-05-01,MEATH,18,5,6,11,3,0.2777777777777778
2023-05-01,MONAGHAN,15,0,0,10,0,0.0
2023-05-01,OFFALY,23,4,4,11,1,0.1739130434782608
2023-05-01,SLIGO,14,5,3,15,1,0.3571428571428571
2023-05-01,SOUTH DUBLIN,15,2,0,8,0,0.1333333333333333
2023-05-01,TIPPERARY,23,4,2,16,3,0.1739130434782608
2023-05-01,WATERFORD,22,4,4,12,4,0.1818181818181818
2023-05-01,WESTMEATH,10,2,2,13,1,0.2
2023-05-01,WEXFORD,18,7,2,13,3,0.3888888888888889
2023-05-01,WICKLOW,22,3,2,15,4,0.1363636363636363
2023-06-01,CAVAN,12,2,0,14,3,0.1666666666666666
2023-06-01,CLARE,19,1,1,12,2,0.0526315789473684
2023-06-01,CORK,22,4,2,15,1,0.1818181818181818
2023-06-01,DONEGAL,9,3,2,12,2,0.3333333333333333
2023-06-01,DUBLIN CITY,29,2,3,8,4,0.0689655172413793
2023-06-01,DÚN LAOGHAIRE-RATHDOWN,14,3,2,12,3,0.2142857142857142
2023-06-01,FINGAL,19,3,3,12,2,0.1578947368421052
2023-06-01,GALWAY,17,7,6,20,5,0.4117647058823529
2023-06-01,KERRY,9,0,0,8,3,0.0
2023-06-01,KILDARE,15,1,1,9,1,0.0666666666666666
2023-06-01,KILKENNY,6,0,0,12,2,0.0
