Licence_ID,Licence_Type,Issue_Date,Expiry_Date,Status,County,Wheelchair_Accessible,Vehicle_Age,Vehicle_Plate_Year,Driver_Experience_Years,Fleet_Segment
SPSV_00028,Taxi,2023-03-11,2027-12-31,Active,Tipperary,No,5,2021,0,Regional
SPSV_00029,Taxi,2021-09-13,2024-09-12,Lapsed,Kilkenny,No,1,2025,15,Regional
SPSV_00030,Taxi,2023-03-08,2027-03-07,Active,Donegal,No,2,2022,0,Regional
SPSV_00031,Taxi,2024-05-18,2027-12-31,Active,,No,1,2024,9,Urban
SPSV_00032,Taxi,2020-06-02,2022-06-02,Lapsed,Wicklow,No,4,2020,2,Regional
SPSV_00033,Taxi,2024-10-07,2027-12-31,Active,Laois,Yes,1,2024,0,Regional
SPSV_00034,Hackney,2023-10-19,2027-12-31,Active,Cork,No,5,2020,7,Urban
SPSV_00035,Limousine,2022-10-01,2025-09-30,Lapsed,Dún Laoghaire-Rathdown,No,3,2021,11,Urban
SPSV_00036,Hackney,2021-08-12,2027-12-31,Active,Mayo,No,10,2016,7,Regional
SPSV_00037,Taxi,2016-08-23,2018-08-23,Lapsed,Waterford,Yes,1,2023,7,Urban
SPSV_00038,Taxi,2019-03-06,2024-03-04,Lapsed,Cavan,No,6,2018,9,Regional
SPSV_00039,Hackney,2022-06-24,2026-06-23,Expiring,Limerick,No,0,2025,11,Urban
SPSV_00040,Taxi,2017-08-30,2021-08-29,Lapsed,Kilkenny,Yes,8,2018,16,Regional
SPSV_00041,Taxi,2024-01-01,2027-12-31,Active,Clare,No,0,2024,4,Regional
SPSV_00042,Taxi,2025-02-13,2027-12-31,Active,Kerry,No,7,2019,10,Regional
SPSV_00043,Taxi,2021-09-03,2026-09-02,Active,Sligo,Yes,4,2022,5,Regional
SPSV_00044,Hackney,2019-05-16,2024-05-14,Lapsed,Westmeath,No,7,2019,7,Regional
SPSV_00045,Taxi,2020-06-22,2023-06-22,Lapsed,Dublin City,No,2,2024,11,Urban
SPSV_00046,Taxi,2019-11-25,2025-11-23,Lapsed,Galway,No,4,2021,8,Urban
SPSV_00047,Taxi,2020-01-13,2023-01-12,Lapsed,Offaly,No,0,2025,4,Regional
SPSV_00048,Taxi,2017-07-19,2022-07-18,Lapsed,Kerry,No,1,2024,8,Regional
SPSV_00049,Taxi,2018-08-18,2020-08-17,Lapsed,Meath,Yes,1,2024,9,Regional
SPSV_00050,Taxi,2024-08-05,2026-08-05,Active,Westmeath,No,8,2017,11,Regional
SPSV_00051,Limousine,2023-07-05,2026-07-04,Expiring,Louth,No,6,2018,13,Regional
SPSV_00052,Hackney,2017-01-06,2022-01-05,Lapsed,Fingal,No,15,2011,16,Urban
SPSV_00053,Hackney,2024-04-09,2027-12-31,Active,Cork,No,3,2022,8,Urban
SPSV_00054,Hackney,2019-04-28,2023-04-27,Lapsed,Wexford,Yes,9,2017,2,Regional
SPSV_00055,Taxi,2017-06-08,2019-06-08,Lapsed,Louth,No,3,2022,9,Regional
SPSV_00056,Hackney,2024-05-02,2027-12-31,Active,Clare,Yes,0,2025,1,Regional
SPSV_00057,Taxi,2016-11-28,2021-11-27,Lapsed,Tipperary,Yes,2,2022,17,Regional
SPSV_00058,Taxi,2020-07-13,2025-07-12,Lapsed,Laois,No,7,2019,5,Regional
SPSV_00059,Taxi,2024-07-14,2026-07-14,Active,Waterford,Yes,4,2021,12,Urban
SPSV_00060,Taxi,2019-08-22,2020-08-21,Lapsed,Fingal,No,11,2014,9,Urban
SPSV_00061,Taxi,2023-07-02,2027-12-31,Active,Wexford,Yes,4,2020,9,Regional
SPSV_00062,Taxi,2023-12-01,2025-11-30,Lapsed,Limerick,Yes,1,2025,0,Urban
SPSV_00063,Hackney,2017-08-11,2019-08-11,Lapsed,Tipperary,No,5,2021,4,Regional
SPSV_00064,Taxi,2025-06-27,2026-06-27,Expiring,Mayo,Yes,2,2023,6,Regional
SPSV_00065,Taxi,2023-11-16,2027-11-15,Active,Westmeath,Yes,2,2022,6,Regional
SPSV_00066,Taxi,2018-07-03,2022-07-02,Lapsed,Cork,No,9,2015,8,Urban
SPSV_00067,Taxi,2022-06-26,2027-06-25,Active,Offaly,Yes,1,2024,4,Regional
SPSV_00068,Hackney,2017-09-29,2020-09-28,Lapsed,Kerry,Yes,2,2024,10,Regional
SPSV_00069,Taxi,2016-04-27,2021-04-26,Lapsed,Cork,No,3,2022,7,Urban
SPSV_00070,Limousine,2021-02-26,2023-02-26,Lapsed,Kildare,No,1,2025,11,Regional
SPSV_00071,Hackney,2020-12-30,2026-12-29,Active,Laois,No,2,2022,0,Regional
SPSV_00072,Taxi,2024-12-24,2027-12-31,Active,Clare,Yes,3,2022,11,Regional
SPSV_00073,Taxi,2022-03-13,2027-03-12,Active,Monaghan,Yes,2,2023,16,Regional
SPSV_00074,Hackney,2021-07-27,2024-07-26,Lapsed,Kilkenny,No,7,2018,7,Regional
SPSV_00075,Hackney,2017-08-19,2019-08-19,Lapsed,Dún Laoghaire-Rathdown,No,3,2023,14,Urban
SPSV_00076,Hackney,2022-10-04,2026-10-03,Active,Cavan,Yes,13,2013,7,Regional
SPSV_00077,Hackney,2023-03-10,2027-12-31,Active,Wicklow,No,9,2015,5,Regional
SPSV_00078,Taxi,2024-08-03,2026-08-03,Active,Galway,Yes,2,2024,9,Urban
SPSV_00079,Taxi,2022-07-01,2027-12-31,Active,Dún Laoghaire-Rathdown,Yes,3,2023,15,Urban
SPSV_00080,Taxi,2018-06-14,2025-06-12,Lapsed,Fingal,No,6,2019,15,Urban
SPSV_00081,Hackney,2023-06-07,2027-06-06,Active,Donegal,Yes,0,2024,0,Regional
SPSV_00082,Taxi,2020-04-07,2027-04-06,Active,Tipperary,No,1,2023,2,Regional
SPSV_00083,Taxi,2023-05-15,2026-05-14,Expiring,Fingal,Yes,1,2024,7,Urban
SPSV_00084,Taxi,2020-06-28,2021-06-28,Lapsed,Kerry,No,11,2015,4,Regional
SPSV_00085,Taxi,2016-01-08,2017-01-07,Lapsed,Cork,No,2,2024,9,Urban
SPSV_00086,Taxi,2016-09-23,2021-09-22,Lapsed,Kerry,No,2,2023,7,Regional
SPSV_00087,Hackney,2016-09-01,2018-09-01,Lapsed,Westmeath,Yes,1,2024,5,Regional
SPSV_00088,Taxi,2018-07-20,2025-07-18,Lapsed,Sligo,No,2,2024,17,Regional
SPSV_00089,Hackney,2016-05-28,2018-05-28,Lapsed,Fingal,No,1,2023,11,Urban
SPSV_00090,Taxi,2024-06-06,2027-06-06,Active,Tipperary,No,2,2023,11,Regional
SPSV_00091,Taxi,2021-09-15,2027-09-14,Active,Kerry,No,7,2019,3,Regional
SPSV_00092,Hackney,2020-12-17,2023-12-17,Lapsed,Louth,No,3,2022,7,Regional
SPSV_00093,Hackney,2019-09-19,2022-09-18,Lapsed,Offaly,No,2,2022,7,Regional
SPSV_00094,Taxi,2023-03-06,2027-12-31,Active,Dún Laoghaire-Rathdown,Yes,3,2021,8,Urban
SPSV_00095,Hackney,2022-10-19,2025-10-18,Lapsed,Cork,No,6,2020,5,Urban
SPSV_00096,Taxi,2017-01-26,2020-01-26,Lapsed,Kildare,No,4,2020,12,Regional
SPSV_00097,Taxi,2022-02-22,2025-02-21,Lapsed,Wexford,Yes,3,2022,14,Regional
SPSV_00098,Taxi,2022-06-20,2026-06-19,Expiring,Cork,No,2,2022,11,Urban
SPSV_00099,Taxi,2024-07-23,2027-12-31,Active,Monaghan,No,1,2025,7,Regional
SPSV_00100,Taxi,2025-05-11,2027-12-31,Active,Dublin City,No,7,2018,5,Urban
SPSV_00101,Taxi,2016-02-14,2019-02-13,Lapsed,Monaghan,Yes,9,2015,13,Regional
SPSV_00102,Taxi,2017-09-08,2021-09-07,Lapsed,Clare,No,15,2009,9,Regional
SPSV_00103,Taxi,2022-05-11,2026-05-10,Expiring,Cork,No,2,2022,10,Urban
SPSV_00104,Taxi,2018-06-26,2025-06-24,Lapsed,Waterford,No,2,2024,9,Urban
SPSV_00105,Hackney,2021-06-07,2024-06-06,Lapsed,Westmeath,No,3,2023,4,Regional
SPSV_00106,Taxi,2019-12-01,2023-11-30,Lapsed,,No,1,2023,15,Regional
SPSV_00107,Taxi,2024-12-01,2027-12-31,Active,Mayo,No,2,2023,20,Regional
SPSV_00108,Hackney,2017-05-02,2024-04-30,Lapsed,Galway,No,0,2024,5,Urban
SPSV_00109,Taxi,2019-12-24,2021-12-23,Lapsed,Waterford,Yes,4,2021,7,Urban
SPSV_00110,Taxi,2018-04-04,2021-04-03,Lapsed,Fingal,Yes,9,2016,6,Urban
SPSV_00111,Taxi,2024-10-18,2027-10-18,Active,Kilkenny,Yes,3,2023,4,Regional
SPSV_00112,Taxi,2018-04-06,2019-04-06,Lapsed,Wexford,No,1,2023,10,Regional
SPSV_00113,Hackney,2020-09-15,2025-09-14,Lapsed,Cork,No,2,2024,5,Urban
SPSV_00114,Hackney,2018-05-05,2023-05-04,Lapsed,Cork,No,1,2023,3,Urban
SPSV_00115,Taxi,2020-10-16,2025-10-15,Lapsed,Monaghan,No,3,2022,10,Regional
SPSV_00116,Hackney,2016-10-13,2018-10-13,Lapsed,Kilkenny,No,1,2025,3,Regional
SPSV_00117,Hackney,2024-03-10,2026-03-10,Expiring,South Dublin,No,1,2025,4,Urban
SPSV_00118,Taxi,2021-06-13,2024-06-12,Lapsed,Mayo,No,1,2025,4,Regional
SPSV_00119,Hackney,2017-01-21,2020-01-21,Lapsed,Mayo,Yes,3,2022,10,Regional
SPSV_00120,Taxi,2018-01-26,2024-01-25,Lapsed,Mayo,No,2,2024,8,Regional
SPSV_00121,Hackney,2020-05-05,2022-05-05,Lapsed,Limerick,Yes,9,2015,0,Urban
SPSV_00122,Hackney,2022-02-02,2023-02-02,Lapsed,Tipperary,No,1,2023,9,Regional
SPSV_00123,Taxi,2025-04-05,2027-12-31,Active,Cavan,No,8,2017,3,Regional
SPSV_00124,Taxi,2022-10-03,2026-10-02,Active,Westmeath,No,8,2018,15,Regional
SPSV_00125,Taxi,2022-01-03,2026-01-02,Lapsed,Dublin City,Yes,3,2021,0,Urban
SPSV_00126,Taxi,2023-08-26,2027-12-31,Active,Dún Laoghaire-Rathdown,No,2,2024,9,Urban
SPSV_00127,Hackney,2022-05-21,2024-05-20,Lapsed,Monaghan,No,2,2022,11,Regional
SPSV_00128,Hackney,2021-02-22,2026-02-21,Expiring,,No,1,2024,1,Regional
SPSV_00129,Taxi,2022-06-10,2025-06-09,Lapsed,Waterford,Yes,3,2021,6,Urban
SPSV_00130,Taxi,2021-05-22,2024-05-21,Lapsed,Dublin City,No,4,2020,8,Urban
SPSV_00131,Taxi,2022-04-25,2027-12-31,Active,Limerick,Yes,4,2020,7,Urban
SPSV_00132,Taxi,2024-09-10,2027-09-10,Active,Limerick,No,4,2021,10,Urban
SPSV_00133,Taxi,2025-03-03,2027-12-31,Active,Waterford,No,4,2020,8,Urban
SPSV_00134,Taxi,2018-01-30,2021-01-29,Lapsed,Kilkenny,No,4,2021,11,Regional
SPSV_00135,Hackney,2024-01-22,2027-12-31,Active,Sligo,No,1,2024,9,Regional
SPSV_00136,Taxi,2018-01-02,2024-01-01,Lapsed,Kildare,No,4,2020,8,Regional
SPSV_00137,Taxi,2016-03-29,2022-03-28,Lapsed,Kerry,No,8,2018,6,Regional
SPSV_00138,Hackney,2020-04-01,2026-03-31,Expiring,Wexford,No,14,2010,9,Regional
SPSV_00139,Taxi,2018-03-07,2023-03-06,Lapsed,Sligo,Yes,2,2023,16,Regional
SPSV_00140,Limousine,2020-06-19,2023-06-19,Lapsed,Kildare,Yes,6,2020,7,Regional
SPSV_00141,Limousine,2016-04-08,2021-04-07,Lapsed,Galway,No,3,2021,1,Urban
SPSV_00142,Taxi,2017-06-08,2022-06-07,Lapsed,Wexford,No,5,2019,13,Regional
SPSV_00143,Taxi,2023-11-28,2024-11-27,Lapsed,Tipperary,Yes,2,2022,18,Regional
SPSV_00144,Taxi,2018-08-06,2022-08-05,Lapsed,Louth,No,2,2022,10,Regional
SPSV_00145,Taxi,2023-11-01,2027-12-31,Active,Fingal,No,0,2024,17,Urban
SPSV_00146,Taxi,2016-02-25,2020-02-24,Lapsed,South Dublin,No,4,2022,8,Urban
SPSV_00147,Taxi,2020-10-16,2023-10-16,Lapsed,Tipperary,No,0,2024,22,Regional
SPSV_00148,Taxi,2018-03-23,2024-03-21,Lapsed,Dublin City,Yes,3,2022,0,Urban
SPSV_00149,Taxi,2023-01-30,2025-01-29,Lapsed,Kildare,Yes,6,2019,7,Regional
SPSV_00150,Taxi,2020-04-10,2023-04-10,Lapsed,Dún Laoghaire-Rathdown,Yes,0,2025,10,Urban
SPSV_00151,Hackney,2020-11-04,2025-11-03,Lapsed,Waterford,Yes,9,2016,4,Urban
SPSV_00152,Taxi,2016-08-28,2020-08-27,Lapsed,Cork,No,0,2025,13,Urban
SPSV_00153,Taxi,2021-01-30,2026-01-29,Expiring,Louth,No,6,2019,10,Regional
SPSV_00154,Taxi,2019-03-23,2021-03-22,Lapsed,Westmeath,No,2,2024,6,Regional
SPSV_00155,Limousine,2025-02-10,2027-12-31,Active,Laois,No,6,2018,10,Regional
SPSV_00156,Taxi,2019-04-20,2021-04-19,Lapsed,Laois,No,2,2023,8,Regional
SPSV_00157,Taxi,2018-12-07,2025-12-05,Lapsed,Cork,No,5,2020,11,Urban
SPSV_00158,Hackney,2016-11-08,2020-11-07,Lapsed,Kildare,No,2,2024,6,Regional
SPSV_00159,Taxi,2025-01-04,2027-12-31,Active,Meath,No,1,2025,0,Regional
SPSV_00160,Hackney,2024-02-15,2025-02-14,Lapsed,Laois,No,1,2025,12,Regional
SPSV_00161,Taxi,2020-08-08,2022-08-08,Lapsed,Wexford,No,5,2020,7,Regional
SPSV_00162,Taxi,2022-02-02,2026-02-01,Expiring,Westmeath,Yes,2,2024,4,Regional
SPSV_00163,Taxi,2017-05-31,2019-05-31,Lapsed,Donegal,Yes,5,2019,6,Regional
SPSV_00164,Taxi,2019-09-22,2023-09-21,Lapsed,Laois,No,5,2021,7,Regional
SPSV_00165,Taxi,2022-12-30,2026-12-29,Active,Louth,No,5,2019,0,Regional
SPSV_00166,Hackney,2022-07-14,2027-12-31,Active,Dún Laoghaire-Rathdown,No,2,2022,3,Urban
SPSV_00167,Taxi,2022-12-08,2027-12-07,Active,Donegal,No,2,2024,7,Regional
SPSV_00168,Taxi,2016-01-24,2020-01-23,Lapsed,Laois,Yes,5,2019,7,Regional
SPSV_00169,Taxi,2024-01-14,2027-01-13,Active,Kildare,No,0,2024,3,Regional
SPSV_00170,Taxi,2020-01-24,2025-01-22,Lapsed,Kildare,No,5,2019,1,Regional
SPSV_00171,Taxi,2016-11-16,2021-11-15,Lapsed,Westmeath,No,7,2019,3,Regional
SPSV_00172,Taxi,2025-06-02,2027-06-02,Active,Louth,No,2,2024,9,Regional
SPSV_00173,Taxi,2021-06-28,2027-12-31,Active,Westmeath,No,8,2016,4,Regional
SPSV_00174,Taxi,2016-05-05,2018-05-05,Lapsed,Limerick,No,4,2021,12,Urban
SPSV_00175,Taxi,2019-02-15,2021-02-14,Lapsed,Sligo,No,5,2019,13,Regional
SPSV_00176,Taxi,2025-03-25,2027-12-31,Active,Mayo,No,2,2024,16,Regional
SPSV_00177,Hackney,2016-09-23,2023-09-22,Lapsed,Clare,No,2,2022,11,Regional
SPSV_00178,Taxi,2018-08-05,2022-08-04,Lapsed,Dublin City,Yes,4,2020,10,Urban
SPSV_00179,Hackney,2022-11-15,2027-12-31,Active,Kildare,No,1,2025,14,Regional
SPSV_00180,Taxi,2024-11-25,2027-11-25,Active,Donegal,No,5,2021,1,Regional
SPSV_00181,Taxi,2023-12-21,2027-12-20,Active,Dublin City,No,2,2023,11,Urban
SPSV_00182,Taxi,2018-11-10,2022-11-09,Lapsed,Fingal,No,4,2020,12,Urban
SPSV_00183,Hackney,2025-03-29,2027-12-31,Active,Wexford,No,3,2021,7,Regional
SPSV_00184,Hackney,2020-09-07,2021-09-07,Lapsed,Donegal,No,0,2024,12,Regional
SPSV_00185,Taxi,2017-03-12,2020-03-11,Lapsed,Cork,No,4,2021,6,Urban
SPSV_00186,Taxi,2016-12-20,2018-12-20,Lapsed,Wexford,No,6,2019,8,Regional
SPSV_00187,Hackney,2025-01-26,2027-12-31,Active,Donegal,No,0,2024,9,Regional
SPSV_00188,Taxi,2023-01-19,2027-01-18,Active,Cork,No,3,2023,9,Urban
SPSV_00189,Taxi,2017-05-23,2021-05-22,Lapsed,Kerry,Yes,4,2020,1,Regional
SPSV_00190,Taxi,2021-02-02,2025-02-01,Lapsed,Limerick,Yes,3,2021,5,Urban
SPSV_00191,Taxi,2016-09-23,2023-09-22,Lapsed,Clare,No,2,2022,8,Regional
SPSV_00192,Hackney,2021-03-22,2027-03-21,Active,Mayo,No,1,2025,9,Regional
SPSV_00193,Hackney,2019-10-25,2024-10-23,Lapsed,Galway,No,1,2024,11,Urban
SPSV_00194,Taxi,2021-03-15,2024-03-14,Lapsed,Fingal,Y,2,2023,8,Urban
SPSV_00195,Taxi,2017-04-20,2019-04-20,Lapsed,Mayo,No,10,2014,13,Regional
SPSV_00196,Taxi,2017-10-06,2024-10-04,Lapsed,Kilkenny,Yes,5,2019,6,Regional
SPSV_00197,Hackney,2017-03-08,2021-03-07,Lapsed,Cork,No,3,2021,12,Urban
SPSV_00198,Hackney,2024-03-21,2027-03-21,Active,South Dublin,No,2,2024,7,Urban
SPSV_00199,Hackney,2024-06-05,2027-12-31,Active,Clare,No,7,2017,3,Regional
SPSV_00200,Hackney,2016-03-11,2023-03-10,Lapsed,Galway,No,2,2024,21,Urban
SPSV_00201,Taxi,2025-01-10,2027-12-31,Active,Waterford,No,6,2018,10,Urban
SPSV_00202,Taxi,2023-01-09,2027-12-31,Active,Cavan,No,0,2024,0,Regional
SPSV_00203,Taxi,2024-07-31,2027-12-31,Active,Dún Laoghaire-Rathdown,No,2,2022,12,Urban
SPSV_00204,Hackney,2024-08-06,2027-12-31,Active,South Dublin,No,8,2017,8,Urban
SPSV_00205,Taxi,2023-04-20,2026-04-19,Expiring,Dublin City,No,2,2022,12,Urban
SPSV_00206,Taxi,2019-06-24,2026-06-22,Expiring,Fingal,No,1,2023,10,Urban
SPSV_00207,Taxi,2016-06-23,2023-06-22,Lapsed,Donegal,Yes,3,2021,4,Regional
SPSV_00208,Taxi,2016-05-02,2022-05-01,Lapsed,Wexford,Yes,7,2017,12,Regional
SPSV_00209,Taxi,2018-01-31,2023-01-30,Lapsed,Meath,No,7,2019,4,Regional
SPSV_00210,Taxi,2022-08-16,2025-08-15,Lapsed,Wicklow,No,2,2024,3,Regional
SPSV_00211,Taxi,2023-05-28,2027-12-31,Active,Wicklow,Yes,1,2023,6,Regional
SPSV_00212,Hackney,2020-06-01,2023-06-01,Lapsed,Tipperary,No,6,2020,2,Regional
SPSV_00213,Taxi,2022-07-13,2027-12-31,Active,Meath,Yes,6,2018,10,Regional
SPSV_00214,Taxi,2024-03-16,2027-12-31,Active,Laois,Yes,4,2020,18,Regional
SPSV_00215,Hackney,2024-09-06,2027-12-31,Active,Mayo,Yes,0,2025,2,Regional
SPSV_00216,Taxi,2019-04-14,2025-04-12,Lapsed,Offaly,No,7,2019,14,Regional
SPSV_00217,Taxi,2017-08-30,2023-08-29,Lapsed,Galway,No,6,2018,5,Urban
SPSV_00218,Hackney,2020-06-16,2023-06-16,Lapsed,Cavan,No,0,2025,5,Regional
SPSV_00219,Taxi,2023-06-01,2027-12-31,Active,Monaghan,No,5,2019,2,Regional
SPSV_00220,Hackney,2021-12-03,2023-12-03,Lapsed,Cavan,No,8,2016,9,Regional
SPSV_00221,Taxi,2018-06-02,2022-06-01,Lapsed,Westmeath,No,1,2024,1,Regional
SPSV_00222,Taxi,2022-05-25,2024-05-24,Lapsed,Cavan,Yes,1,2025,5,Regional
SPSV_00223,Taxi,2020-02-07,2024-02-06,Lapsed,Wicklow,No,0,2025,13,Regional
SPSV_00224,Taxi,2016-04-19,2022-04-18,Lapsed,Kerry,No,3,2021,15,Regional
SPSV_00225,Taxi,2023-01-20,2027-12-31,Active,Wexford,No,3,2023,3,Regional
SPSV_00226,Taxi,2016-07-11,2019-07-11,Lapsed,Cavan,Yes,7,2018,6,Regional
SPSV_00227,Limousine,2024-02-07,2027-12-31,Active,Fingal,Yes,3,2022,7,Urban
SPSV_00228,Taxi,2018-02-03,2022-02-02,Lapsed,Tipperary,No,2,2022,0,Regional
SPSV_00229,Hackney,2023-07-29,2027-12-31,Active,Meath,No,3,2022,5,Regional
SPSV_00230,Taxi,2021-10-17,2025-10-16,Lapsed,Dún Laoghaire-Rathdown,No,2,2022,4,Urban
SPSV_00231,Hackney,2019-11-22,2024-11-20,Lapsed,Limerick,No,5,2021,10,Urban
SPSV_00232,Taxi,2019-04-07,2026-04-05,Expiring,Wexford,No,2,2023,9,Regional
SPSV_00233,Taxi,2016-11-03,2020-11-02,Lapsed,Waterford,No,0,2025,8,Urban
SPSV_00234,Taxi,2018-07-21,2025-07-19,Lapsed,Monaghan,No,4,2022,6,Regional
SPSV_00235,Taxi,2017-02-18,2024-02-17,Lapsed,Galway,Yes,2,2022,14,Urban
SPSV_00236,Hackney,2025-06-20,2027-12-31,Active,Dublin City,No,0,2025,7,Urban
SPSV_00237,Taxi,2021-09-03,2024-09-02,Lapsed,Clare,No,3,2023,12,Regional
SPSV_00238,Taxi,2022-09-17,2026-09-16,Active,Mayo,No,4,2021,10,Regional
SPSV_00239,Taxi,2023-12-15,2027-12-31,Active,Mayo,Yes,7,2018,8,Regional
SPSV_00240,Taxi,2022-10-18,2026-10-17,Active,South Dublin,No,6,2019,12,Urban
SPSV_00241,Hackney,2021-05-04,2026-05-03,Expiring,Galway,Y,6,2019,6,Urban
SPSV_00242,Limousine,2021-11-08,2023-11-08,Lapsed,Kerry,No,1,2025,3,Regional
SPSV_00243,Hackney,2021-04-09,2023-04-09,Lapsed,Laois,No,5,2020,7,Regional
SPSV_00244,Taxi,2019-05-26,2023-05-25,Lapsed,Waterford,No,1,2023,15,Urban
SPSV_00245,Taxi,2023-10-23,2027-12-31,Active,Dublin City,Yes,3,2021,9,Urban
SPSV_00246,Hackney,2017-04-09,2021-04-08,Lapsed,Donegal,No,1,2024,5,Regional
SPSV_00247,Taxi,2022-09-03,2027-09-02,Active,Tipperary,No,1,2024,3,Regional
SPSV_00248,Limousine,2019-08-22,2023-08-21,Lapsed,Tipperary,No,0,2024,0,Regional
SPSV_00249,Limousine,2018-04-08,2023-04-07,Lapsed,Donegal,No,7,2018,3,Regional
SPSV_00250,Hackney,2021-05-29,2026-05-28,Expiring,Laois,No,2,2024,9,Regional
SPSV_00251,Taxi,2022-03-19,2026-03-18,Expiring,Clare,No,3,2022,6,Regional
SPSV_00252,Taxi,2022-01-12,2026-01-11,Expiring,Kildare,Yes,10,2015,9,Regional
SPSV_00253,Hackney,2020-05-25,2022-05-25,Lapsed,Limerick,No,2,2024,3,Urban
SPSV_00254,Taxi,2020-11-11,2024-11-10,Lapsed,Tipperary,No,4,2021,13,Regional
SPSV_00255,Taxi,2016-08-18,2021-08-17,Lapsed,Westmeath,Yes,1,2025,11,Regional
SPSV_00256,Taxi,2016-11-14,2020-11-13,Lapsed,Laois,No,3,2023,5,Regional
SPSV_00257,Hackney,2016-12-31,2019-12-31,Lapsed,South Dublin,Yes,1,2023,0,Urban
SPSV_00258,Hackney,2024-01-10,2027-12-31,Active,Sligo,No,2,2022,9,Regional
SPSV_00259,Taxi,2025-01-29,2027-01-29,Active,Kilkenny,No,4,2021,0,Regional
SPSV_00260,Taxi,2016-10-28,2023-10-27,Lapsed,Clare,No,4,2020,1,Regional
SPSV_00261,Taxi,2020-12-11,2021-12-11,Lapsed,Wicklow,No,0,2025,5,Regional
SPSV_00262,Limousine,2022-06-13,2027-12-31,Active,Monaghan,No,2,2023,3,Regional
SPSV_00263,Taxi,2021-03-23,2025-03-22,Lapsed,Galway,No,3,2021,14,Urban
SPSV_00264,Taxi,2017-01-30,2021-01-29,Lapsed,Tipperary,Yes,4,2020,6,Regional
SPSV_00265,Hackney,2016-01-17,2019-01-16,Lapsed,Monaghan,Yes,0,2025,10,Regional
SPSV_00266,Hackney,2024-04-06,2025-04-06,Lapsed,South Dublin,No,0,2025,0,Urban
SPSV_00267,Hackney,2022-03-23,2025-03-22,Lapsed,Kildare,No,4,2021,0,Regional
SPSV_00268,Hackney,2017-12-21,2019-12-21,Lapsed,Donegal,No,4,2022,4,Regional
SPSV_00269,Taxi,2016-04-06,2021-04-05,Lapsed,,No,4,2021,9,Urban
SPSV_00270,Taxi,2020-10-02,2023-10-02,Lapsed,Wicklow,Yes,0,2025,1,Regional
SPSV_00271,Hackney,2020-12-02,2026-12-01,Active,Offaly,No,2,2023,9,Regional
