Enforcement_ID,Licence_ID,Action_Type,Action_Date,Outcome
ENF_000051,SPSV_02059,Fine,2025-12-22,Complied
ENF_000052,SPSV_01299,Warning,2025-08-23,Complied
ENF_000053,SPSV_00016,Suspension,2024-01-04,Complied
ENF_000054,SPSV_00583,Fine,2022-06-06,Pending
ENF_000055,SPSV_02744,Warning,2022-07-27,Pending
ENF_000056,SPSV_01734,Education/Advisory,2025-06-29,Pending
ENF_000057,SPSV_03753,Warning,2024-07-25,Complied
ENF_000058,SPSV_00413,Warning,2022-08-19,Complied
ENF_000059,SPSV_03394,Fine,2024-05-22,Appealed
ENF_000060,SPSV_00029,Education/Advisory,2022-08-09,Not Upheld
ENF_000061,SPSV_03526,Warning,2023-03-04,Appealed
ENF_000062,SPSV_01809,Fine,2024-09-01,Appealed
ENF_000063,SPSV_04999,Suspension,2025-03-29,Complied
ENF_000064,SPSV_02631,Warning,2023-11-06,Complied
ENF_000065,SPSV_02172,Suspension,2023-02-26,Pending
ENF_000066,SPSV_02629,Fine,2023-05-12,Pending
ENF_000067,SPSV_04783,Fine,2025-10-11,Complied
ENF_000068,SPSV_03104,Fine,2025-12-14,Complied
ENF_000069,SPSV_03770,Warning,2022-02-23,Complied
ENF_000070,SPSV_04617,Warning,2025-02-18,Complied
ENF_000071,SPSV_03496,Warning,2023-01-06,Pending
ENF_000072,SPSV_01245,Fine,2022-12-08,Complied
ENF_000073,SPSV_03833,Warning,2022-01-20,Complied
ENF_000074,SPSV_03143,Warning,2022-05-16,Appealed
ENF_000075,SPSV_04768,Fine,2022-07-22,Pending
ENF_000076,SPSV_03008,Suspension,2023-04-15,Complied
ENF_000077,SPSV_00473,Fine,2025-04-19,Appealed
ENF_000078,SPSV_02071,Fine,2024-08-01,Pending
ENF_000079,SPSV_03391,Suspension,2024-02-21,Pending
ENF_000080,SPSV_02571,Warning,2023-07-18,Complied
ENF_000081,SPSV_02054,Fine,2022-10-29,Complied
ENF_000082,SPSV_02784,Warning,2024-08-13,Complied
ENF_000083,SPSV_04959,Suspension,2022-10-20,Complied
ENF_000084,SPSV_00899,Warning,2024-08-25,Pending
ENF_000085,SPSV_00303,Warning,2023-04-08,Complied
ENF_000086,SPSV_02079,Warning,2025-12-27,Complied
ENF_000087,SPSV_00996,Fine,2023-12-20,Complied
ENF_000088,SPSV_01791,Warning,2025-01-21,Complied
ENF_000089,SPSV_04364,Fine,2024-12-24,Appealed
ENF_000090,SPSV_02105,Suspension,2022-10-28,Complied
ENF_000091,SPSV_00457,Warning,2025-03-13,Complied
ENF_000092,SPSV_01305,Fine,2022-08-12,Appealed
ENF_000093,SPSV_01319,Warning,2024-11-30,Complied
ENF_000094,SPSV_01487,Education/Advisory,2025-05-26,Complied
ENF_000095,SPSV_03076,Suspension,2023-07-23,Complied
ENF_000096,SPSV_04142,Education/Advisory,2022-05-23,Complied
ENF_000097,SPSV_02485,Warning,2022-10-21,Complied
ENF_000098,SPSV_02709,Fine,2022-04-04,Appealed
ENF_000099,SPSV_03438,Fine,2022-04-30,Pending
ENF_000100,SPSV_01616,Suspension,2025-04-03,Complied
ENF_000101,SPSV_03662,Warning,2022-02-28,Complied
ENF_000102,SPSV_03472,Warning,2025-01-15,Complied
ENF_000103,SPSV_03353,Suspension,2025-05-04,Appealed
ENF_000104,SPSV_04765,Warning,2025-09-23,Complied
ENF_000105,SPSV_01233,Fine,2025-07-10,Complied
ENF_000106,SPSV_04157,Fine,2023-03-13,Complied
ENF_000107,SPSV_04908,Warning,2023-01-26,Complied
ENF_000108,SPSV_01824,Warning,2023-11-03,Pending
ENF_000109,SPSV_01206,Fine,2024-01-28,Complied
ENF_000110,SPSV_02113,Warning,2023-07-10,Complied
ENF_000111,SPSV_04631,Fine,2022-08-04,Complied
ENF_000112,SPSV_04581,Warning,2024-01-02,Pending
ENF_000113,SPSV_01459,Fine,2023-07-10,Pending
ENF_000114,SPSV_02414,Fine,2025-10-25,Complied
ENF_000115,SPSV_00325,Fine,2024-11-21,Complied
ENF_000116,SPSV_03166,Warning,2025-08-31,Complied
ENF_000117,SPSV_02995,Warning,2023-01-28,Complied
ENF_000118,SPSV_00260,Fine,2025-02-06,Pending
ENF_000119,SPSV_02657,Warning,2022-09-19,Complied
ENF_000120,SPSV_00030,Warning,2023-03-13,Appealed
ENF_000121,SPSV_04109,Fine,2025-08-07,Appealed
ENF_000122,SPSV_00138,Suspension,2024-05-25,Complied
ENF_000123,SPSV_00859,Fine,2024-07-21,Pending
ENF_000124,SPSV_03981,Warning,2024-06-06,Complied
ENF_000125,SPSV_01604,Fine,2023-04-30,Pending
ENF_000126,SPSV_03243,Fine,2024-10-13,Appealed
ENF_000127,SPSV_01629,Fine,2023-06-04,Pending
ENF_000128,SPSV_03259,Suspension,2023-07-06,Appealed
ENF_000129,SPSV_01148,Warning,2024-07-03,Complied
ENF_000130,SPSV_00719,Revocation,2022-03-01,Complied
ENF_000131,SPSV_00662,Education/Advisory,2024-07-05,Pending
ENF_000132,SPSV_01246,Suspension,2024-04-04,Complied
ENF_000133,SPSV_03093,Education/Advisory,2025-05-31,Complied
ENF_000134,SPSV_00375,Fine,2022-08-24,Complied
ENF_000135,SPSV_03992,Fine,2025-04-23,Appealed
ENF_000136,SPSV_02780,Warning,2025-07-30,Complied
ENF_000137,SPSV_02847,Fine,2025-10-12,Complied
ENF_000138,SPSV_02886,Education/Advisory,2025-12-21,Complied
ENF_000139,SPSV_04621,Education/Advisory,2022-12-16,Pending
ENF_000140,SPSV_04115,Fine,2022-11-02,Complied
ENF_000141,SPSV_01830,Warning,2024-08-24,Complied
ENF_000142,SPSV_02030,Suspension,2023-01-05,Complied
ENF_000143,SPSV_00914,Suspension,2023-10-20,Complied
ENF_000144,SPSV_01057,Fine,2022-09-05,Complied
ENF_000145,SPSV_04357,Suspension,2023-05-03,Not Upheld
ENF_000146,SPSV_02590,Suspension,2023-02-14,Complied
ENF_000147,SPSV_02317,Fine,2025-05-03,Complied
ENF_000148,SPSV_01864,Suspension,2022-02-06,Complied
ENF_000149,SPSV_01703,Education/Advisory,2025-04-02,Complied
ENF_000150,SPSV_03525,Fine,2022-08-19,Complied
ENF_000151,SPSV_03576,Fine,2023-08-19,Complied
ENF_000152,SPSV_00847,Warning,2025-04-29,Pending
ENF_000153,SPSV_04358,Warning,2023-08-08,Complied
ENF_000154,SPSV_03348,Fine,2023-01-02,Complied
ENF_000155,SPSV_00367,Warning,2023-09-21,Complied
ENF_000156,SPSV_03287,Warning,2025-05-17,Complied
ENF_000157,SPSV_03232,Warning,2025-08-01,Appealed
ENF_000158,SPSV_03694,Fine,2022-08-02,Complied
ENF_000159,SPSV_02727,Warning,2024-11-04,Complied
ENF_000160,SPSV_01653,Warning,2024-11-18,Complied
ENF_000161,SPSV_02200,Fine,2025-08-21,Appealed
ENF_000162,SPSV_03960,Education/Advisory,2023-09-12,Not Upheld
ENF_000163,SPSV_03827,Suspension,2023-03-05,Complied
ENF_000164,SPSV_02674,Fine,2022-10-13,Complied
ENF_000165,SPSV_04425,Fine,2025-04-29,Not Upheld
ENF_000166,SPSV_00219,Warning,2023-12-17,Not Upheld
ENF_000167,SPSV_01960,Suspension,2024-10-15,Complied
ENF_000168,SPSV_04789,Education/Advisory,2024-04-16,Pending
ENF_000169,SPSV_01596,Suspension,2022-12-25,Complied
ENF_000170,SPSV_01734,Warning,2022-08-27,Complied
ENF_000171,SPSV_02891,Warning,2022-12-23,Complied
ENF_000172,SPSV_03204,Fine,2024-06-14,Pending
ENF_000173,SPSV_02598,Fine,2024-02-11,Appealed
ENF_000174,SPSV_03360,Education/Advisory,2023-02-11,Pending
ENF_000175,SPSV_01487,Warning,2022-05-20,Pending
ENF_000176,SPSV_04359,Suspension,2025-11-18,Complied
ENF_000177,SPSV_04611,Warning,2025-02-07,Appealed
ENF_000178,SPSV_00605,Warning,2025-09-12,Complied
ENF_000179,SPSV_00251,Suspension,2024-01-01,Pending
ENF_000180,SPSV_03526,Fine,2023-05-17,Complied
ENF_000181,SPSV_03870,Fine,2022-12-25,Appealed
ENF_000182,SPSV_03455,Warning,2025-01-01,Complied
ENF_000183,SPSV_03287,Fine,2025-07-17,Complied
ENF_000184,SPSV_02318,Fine,2023-11-09,Complied
ENF_000185,SPSV_03274,Warning,2022-09-21,Complied
ENF_000186,SPSV_03135,Fine,2024-06-19,Appealed
ENF_000187,SPSV_04565,Warning,2025-12-16,Complied
ENF_000188,SPSV_01734,Warning,2022-01-01,Complied
ENF_000189,SPSV_01287,Fine,2022-10-28,Complied
ENF_000190,SPSV_02750,Revocation,2025-11-26,Appealed
ENF_000191,SPSV_03287,Fine,2025-01-20,Complied
ENF_000192,SPSV_02846,Fine,2023-03-10,Complied
ENF_000193,SPSV_04995,Education/Advisory,2025-02-21,Complied
ENF_000194,SPSV_01021,Suspension,2024-11-08,Complied
ENF_000195,SPSV_00191,Suspension,2023-10-19,Complied
ENF_000196,SPSV_01239,Education/Advisory,2025-11-06,Appealed
ENF_000197,SPSV_03928,Fine,2024-12-01,Complied
ENF_000198,SPSV_00430,Warning,2022-06-06,Appealed
ENF_000199,SPSV_01692,Warning,2023-05-15,Complied
ENF_000200,SPSV_00049,Fine,2023-06-08,Complied
ENF_000201,SPSV_04014,Warning,2024-01-12,Appealed
ENF_000202,SPSV_04369,Suspension,2025-05-27,Appealed
ENF_000203,SPSV_01509,Warning,2025-07-21,Complied
ENF_000204,SPSV_04089,Fine,2025-03-02,Complied
ENF_000205,SPSV_00286,Education/Advisory,2025-04-19,Complied
ENF_000206,SPSV_04922,Fine,2023-02-18,Appealed
ENF_000207,SPSV_03013,Fine,2025-08-20,Not Upheld
ENF_000208,SPSV_03340,Warning,2025-01-14,Complied
ENF_000209,SPSV_02303,Warning,2024-12-04,Not Upheld
ENF_000210,SPSV_03264,Fine,2024-08-18,Complied
ENF_000211,SPSV_01671,Warning,2024-07-09,Appealed
ENF_000212,SPSV_03476,Fine,2024-06-09,Complied
ENF_000213,SPSV_04179,Education/Advisory,2022-09-20,Pending
ENF_000214,SPSV_02658,Warning,2022-10-09,Pending
ENF_000215,SPSV_01424,Warning,2023-11-19,Complied
ENF_000216,SPSV_00990,Suspension,2022-06-23,Appealed
ENF_000217,SPSV_00859,Education/Advisory,2025-10-01,Complied
ENF_000218,SPSV_04877,Warning,2024-10-26,Complied
ENF_000219,SPSV_00447,Fine,2024-01-11,Complied
ENF_000220,SPSV_03245,Warning,2022-12-11,Complied
ENF_000221,SPSV_04655,Warning,2022-03-07,Complied
ENF_000222,SPSV_00800,Warning,2024-04-09,Complied
ENF_000223,SPSV_00473,Fine,2024-01-21,Complied
ENF_000224,SPSV_00464,Fine,2022-05-24,Complied
ENF_000225,SPSV_03170,Warning,2023-06-30,Complied
ENF_000226,SPSV_04724,Revocation,2022-11-04,Complied
ENF_000227,SPSV_01638,Education/Advisory,2024-10-18,Complied
ENF_000228,SPSV_02383,Warning,2022-10-15,Complied
ENF_000229,SPSV_01019,Warning,2024-08-10,Complied
ENF_000230,SPSV_02487,Warning,2025-06-23,Pending
ENF_000231,SPSV_02517,Fine,2024-12-17,Complied
ENF_000232,SPSV_02798,Fine,2025-08-20,Complied
ENF_000233,SPSV_03859,Warning,2022-09-26,Complied
ENF_000234,SPSV_02488,Warning,2024-08-19,Complied
ENF_000235,SPSV_03075,Fine,2024-08-20,Complied
ENF_000236,SPSV_00315,Suspension,2024-09-07,Appealed
ENF_000237,SPSV_04853,Fine,2025-06-06,Complied
ENF_000238,SPSV_04582,Fine,2025-04-10,Complied
ENF_000239,SPSV_03831,Warning,2023-09-20,Complied
ENF_000240,SPSV_01455,Warning,2025-02-22,Complied
ENF_000241,SPSV_00898,Education/Advisory,2023-10-29,Not Upheld
ENF_000242,SPSV_00270,Warning,2023-09-23,Complied
ENF_000243,SPSV_03570,Warning,2024-12-13,Appealed
ENF_000244,SPSV_00941,Education/Advisory,2024-12-02,Complied
ENF_000245,SPSV_01586,Warning,2023-02-11,Complied
ENF_000246,SPSV_00154,Fine,2024-07-10,Not Upheld
ENF_000247,SPSV_00445,Warning,2025-08-13,Appealed
ENF_000248,SPSV_01908,Education/Advisory,2025-10-16,Complied
ENF_000249,SPSV_01725,Fine,2023-10-12,Complied
ENF_000250,SPSV_04371,Warning,2022-12-07,Complied
ENF_000251,SPSV_02895,Suspension,2023-10-21,Appealed
ENF_000252,SPSV_02186,Warning,2024-02-19,Pending
ENF_000253,SPSV_04022,Suspension,2025-05-31,Complied
ENF_000254,SPSV_03917,Warning,2023-10-17,Complied
ENF_000255,SPSV_03532,Warning,2024-03-23,Pending
ENF_000256,SPSV_00037,Warning,2025-12-18,Complied
ENF_000257,SPSV_04260,Warning,2024-11-19,Complied
ENF_000258,SPSV_02502,Fine,2023-09-02,Complied
ENF_000259,SPSV_04307,Fine,2025-10-02,Pending
ENF_000260,SPSV_01327,Warning,2023-02-26,Complied
ENF_000261,SPSV_00588,Suspension,2022-10-04,Complied
ENF_000262,SPSV_01801,Suspension,2025-09-27,Pending
ENF_000263,SPSV_04886,Suspension,2023-05-28,Appealed
ENF_000264,SPSV_02308,Education/Advisory,2023-03-05,Pending
ENF_000265,SPSV_00514,Education/Advisory,2025-08-15,Pending
ENF_000266,SPSV_04332,Fine,2024-12-02,Complied
ENF_000267,SPSV_04567,Warning,2024-06-22,Appealed
ENF_000268,SPSV_03986,Warning,2023-11-28,Pending
ENF_000269,SPSV_04430,Fine,2023-12-21,Pending
ENF_000270,SPSV_03188,Fine,2024-08-26,Complied
ENF_000271,SPSV_04270,Warning,2024-01-15,Complied
ENF_000272,SPSV_01441,Suspension,2024-03-09,Complied
ENF_000273,SPSV_03383,Fine,2023-12-06,Complied
ENF_000274,SPSV_00290,Fine,2024-11-08,Complied
ENF_000275,SPSV_00872,Suspension,2024-09-01,Appealed
ENF_000276,SPSV_00430,Warning,2024-07-03,Complied
ENF_000277,SPSV_02270,Warning,2023-02-21,Complied
ENF_000278,SPSV_02416,Warning,2023-07-05,Complied
ENF_000279,SPSV_04696,Education/Advisory,2025-05-17,Appealed
ENF_000280,SPSV_04037,Warning,2024-07-09,Appealed
ENF_000281,SPSV_03843,Revocation,2022-01-19,Complied
ENF_000282,SPSV_02049,Warning,2023-02-18,Complied
ENF_000283,SPSV_02593,Warning,2024-08-21,Appealed
ENF_000284,SPSV_04720,Fine,2023-09-15,Complied
ENF_000285,SPSV_00855,Fine,2025-10-05,Complied
ENF_000286,SPSV_00871,Fine,2022-10-07,Complied
ENF_000287,SPSV_00715,Warning,2023-05-20,Complied
ENF_000288,SPSV_01944,Warning,2024-02-27,Complied
ENF_000289,SPSV_00703,Fine,2022-08-07,Complied
ENF_000290,SPSV_01357,Warning,2025-06-04,Complied
ENF_000291,SPSV_03479,Suspension,2025-02-21,Complied
ENF_000292,SPSV_01785,Fine,2023-09-09,Complied
ENF_000293,SPSV_03044,Warning,2022-06-11,Complied
ENF_000294,SPSV_04075,Suspension,2024-01-11,Complied
ENF_000295,SPSV_00175,Warning,2022-02-02,Pending
ENF_000296,SPSV_04607,Warning,2025-12-24,Complied
ENF_000297,SPSV_01680,Warning,2022-11-09,Complied
ENF_000298,SPSV_01572,Warning,2023-02-18,Complied
ENF_000299,SPSV_04812,Warning,2024-04-19,Complied
ENF_000300,SPSV_03137,Fine,2022-05-04,Complied
ENF_000301,SPSV_01074,Warning,2024-11-09,Appealed
ENF_000302,SPSV_01662,Warning,2025-01-24,Complied
ENF_000303,SPSV_02105,Education/Advisory,2022-07-26,Complied
ENF_000304,SPSV_03667,Fine,2024-03-07,Complied
ENF_000305,SPSV_02525,Warning,2022-02-19,Complied
ENF_000306,SPSV_03387,Warning,2023-08-25,Complied
ENF_000307,SPSV_04556,Fine,2024-08-23,Complied
ENF_000308,SPSV_00535,Fine,2025-02-26,Pending
ENF_000309,SPSV_01732,Revocation,2023-08-13,Complied
ENF_000310,SPSV_03922,Suspension,2022-05-26,Complied
ENF_000311,SPSV_00417,Warning,2024-04-23,Appealed
ENF_000312,SPSV_04968,Warning,2023-06-05,Appealed
ENF_000313,SPSV_03835,Warning,2024-06-29,Pending
ENF_000314,SPSV_00511,Warning,2022-12-30,Appealed
ENF_000315,SPSV_04744,Warning,2024-02-26,Appealed
ENF_000316,SPSV_00454,Education/Advisory,2025-07-18,Complied
ENF_000317,SPSV_02740,Fine,2023-09-03,Complied
ENF_000318,SPSV_03931,Fine,2024-06-04,Appealed
ENF_000319,SPSV_03520,Fine,2022-09-15,Complied
ENF_000320,SPSV_04286,Warning,2025-05-09,Complied
ENF_000321,SPSV_02754,Suspension,2025-04-09,Complied
ENF_000322,SPSV_00645,Warning,2023-08-06,Complied
ENF_000323,SPSV_02337,Suspension,2025-09-06,Appealed
ENF_000324,SPSV_00729,Fine,2022-07-15,Complied
ENF_000325,SPSV_04631,Fine,2023-11-12,Pending
ENF_000326,SPSV_02516,Warning,2024-12-29,Complied
ENF_000327,SPSV_01257,Revocation,2024-03-23,Complied
ENF_000328,SPSV_03525,Fine,2023-10-13,Appealed
ENF_000329,SPSV_02417,Warning,2025-03-10,Appealed
ENF_000330,SPSV_00615,Suspension,2022-10-20,Complied
ENF_000331,SPSV_01384,Fine,2023-01-04,Complied
ENF_000332,SPSV_01471,Fine,2022-02-02,Complied
ENF_000333,SPSV_02144,Fine,2025-11-01,Complied
ENF_000334,SPSV_04956,Warning,2022-01-21,Complied
ENF_000335,SPSV_03857,Warning,2023-05-31,Appealed
ENF_000336,SPSV_03568,Warning,2025-08-31,Pending
ENF_000337,SPSV_01673,Fine,2022-10-10,Complied
ENF_000338,SPSV_02385,Fine,2022-11-07,Complied
ENF_000339,SPSV_03086,Warning,2022-03-31,Appealed
ENF_000340,SPSV_00163,Suspension,2022-01-12,Complied
ENF_000341,SPSV_04166,Fine,2025-02-20,Complied
ENF_000342,SPSV_03350,Fine,2022-06-29,Pending
ENF_000343,SPSV_02164,Warning,2024-11-06,Complied
ENF_000344,SPSV_03783,Suspension,2022-01-05,Complied
ENF_000345,SPSV_01487,Warning,2022-11-28,Appealed
ENF_000346,SPSV_01098,Suspension,2023-12-09,Complied
ENF_000347,SPSV_01039,Warning,2022-12-25,Complied
ENF_000348,SPSV_03400,Fine,2025-08-02,Complied
ENF_000349,SPSV_02825,Warning,2022-03-30,Appealed
ENF_000350,SPSV_04724,Fine,2024-12-05,Pending
ENF_000351,SPSV_02646,Warning,2025-01-28,Complied
ENF_000352,SPSV_03879,Revocation,2022-03-17,Complied
ENF_000353,SPSV_01459,Warning,2022-09-27,Not Upheld
ENF_000354,SPSV_00213,Suspension,2022-07-31,Pending
ENF_000355,SPSV_00637,Fine,2024-12-15,Appealed
ENF_000356,SPSV_04258,Warning,2023-05-28,Pending
ENF_000357,SPSV_02809,Warning,2025-10-10,Pending
ENF_000358,SPSV_00735,Warning,2023-12-15,Not Upheld
ENF_000359,SPSV_02887,Warning,2024-02-19,Complied
ENF_000360,SPSV_04239,Warning,2022-07-16,Complied
ENF_000361,SPSV_04405,Warning,2024-07-13,Appealed
ENF_000362,SPSV_00830,Fine,2023-11-27,Not Upheld
ENF_000363,SPSV_04189,Suspension,2025-12-20,Appealed
ENF_000364,SPSV_01165,Education/Advisory,2024-03-23,Complied
ENF_000365,SPSV_00657,Suspension,2024-06-25,Pending
ENF_000366,SPSV_03932,Warning,2022-11-23,Complied
ENF_000367,SPSV_02228,Warning,2022-07-01,Pending
ENF_000368,SPSV_00148,Warning,2025-11-16,Complied
ENF_000369,SPSV_04701,Warning,2022-08-11,Complied
ENF_000370,SPSV_03987,Warning,2025-02-14,Appealed
ENF_000371,SPSV_02353,Education/Advisory,2025-08-26,Complied
ENF_000372,SPSV_00368,Warning,2025-01-04,Complied
ENF_000373,SPSV_00499,Fine,2024-02-19,Complied
ENF_000374,SPSV_00638,Warning,2023-12-04,Pending
ENF_000375,SPSV_02288,Suspension,2023-07-15,Complied
ENF_000376,SPSV_04668,Suspension,2023-05-02,Complied
ENF_000377,SPSV_02030,Warning,2023-03-18,Complied
ENF_000378,SPSV_02487,Suspension,2022-02-24,Appealed
ENF_000379,SPSV_04569,Fine,2025-12-27,Complied
ENF_000380,SPSV_02617,Fine,2024-10-05,Complied
ENF_000381,SPSV_00702,Warning,2025-09-29,Complied
ENF_000382,SPSV_02998,Fine,2022-09-06,Appealed
ENF_000383,SPSV_00073,Fine,2025-02-17,Complied
ENF_000384,SPSV_01199,Warning,2025-06-20,Pending
ENF_000385,SPSV_01446,Warning,2024-06-20,Appealed
ENF_000386,SPSV_01845,Suspension,2024-06-12,Complied
ENF_000387,SPSV_03489,Warning,2022-11-02,Pending
ENF_000388,SPSV_03008,Suspension,2022-08-26,Complied
ENF_000389,SPSV_02962,Fine,2025-08-16,Appealed
ENF_000390,SPSV_00125,Warning,2022-08-18,Complied
ENF_000391,SPSV_02524,Warning,2022-10-08,Complied
ENF_000392,SPSV_01037,Warning,2025-04-25,Appealed
ENF_000393,SPSV_04843,Warning,2025-08-07,Complied
ENF_000394,SPSV_02360,Warning,2025-10-27,Complied
ENF_000395,SPSV_01602,Warning,2022-10-22,Complied
ENF_000396,SPSV_03602,Warning,2022-08-23,Complied
ENF_000397,SPSV_02657,Education/Advisory,2023-02-01,Complied
ENF_000398,SPSV_02127,Education/Advisory,2025-07-06,Complied
ENF_000399,SPSV_01488,Fine,2022-04-01,Complied
ENF_000400,SPSV_00140,Education/Advisory,2022-09-19,Complied
ENF_000401,SPSV_01530,Warning,2025-08-29,Pending
ENF_000402,SPSV_03455,Warning,2022-09-03,Pending
ENF_000403,SPSV_02710,Suspension,2022-02-09,Appealed
ENF_000404,SPSV_02823,Fine,2025-06-18,Pending
ENF_000405,SPSV_00844,Education/Advisory,2022-05-09,Complied
ENF_000406,SPSV_01199,Fine,2023-10-08,Not Upheld
ENF_000407,SPSV_01388,Suspension,2022-09-14,Appealed
ENF_000408,SPSV_00637,Fine,2023-07-02,Complied
ENF_000409,SPSV_03905,Fine,2023-11-22,Complied
ENF_000410,SPSV_01842,Revocation,2023-05-27,Complied
ENF_000411,SPSV_03721,Suspension,2022-01-12,Appealed
ENF_000412,SPSV_04409,Suspension,2023-05-29,Complied
ENF_000413,SPSV_03872,Warning,2022-08-19,Not Upheld
ENF_000414,SPSV_04795,Suspension,2023-04-15,Complied
ENF_000415,SPSV_02794,Warning,2024-06-22,Complied
ENF_000416,SPSV_01443,Fine,2024-01-04,Pending
ENF_000417,SPSV_03373,Fine,2022-03-27,Complied
ENF_000418,SPSV_02802,Warning,2024-05-08,Complied
ENF_000419,SPSV_03060,Suspension,2022-06-11,Not Upheld
ENF_000420,SPSV_00605,Suspension,2025-05-17,Complied
ENF_000421,SPSV_01705,Warning,2024-07-03,Complied
ENF_000422,SPSV_01962,Warning,2024-04-06,Complied
ENF_000423,SPSV_04478,Education/Advisory,2024-01-02,Complied
ENF_000424,SPSV_02685,Revocation,2022-05-10,Appealed
ENF_000425,SPSV_02432,Warning,2023-02-02,Pending
ENF_000426,SPSV_02193,Suspension,2023-08-07,Complied
ENF_000427,SPSV_00283,Fine,2023-08-03,Complied
ENF_000428,SPSV_04568,Fine,2022-03-25,Appealed
ENF_000429,SPSV_04640,Fine,2022-08-08,Complied
ENF_000430,SPSV_04767,Suspension,2023-03-19,Complied
ENF_000431,SPSV_03714,Fine,2025-09-22,Appealed
ENF_000432,SPSV_04256,Fine,2025-04-28,Complied
ENF_000433,SPSV_02357,Fine,2023-03-30,Complied
ENF_000434,SPSV_01075,Warning,2022-04-27,Pending
ENF_000435,SPSV_00010,Education/Advisory,2024-11-11,Complied
ENF_000436,SPSV_00588,Suspension,2025-06-17,Complied
ENF_000437,SPSV_04045,Fine,2023-08-14,Appealed
ENF_000438,SPSV_03010,Fine,2024-01-01,Complied
ENF_000439,SPSV_00420,Fine,2024-04-02,Appealed
ENF_000440,SPSV_00412,Fine,2023-12-10,Appealed
ENF_000441,SPSV_01540,Warning,2024-11-08,Not Upheld
ENF_000442,SPSV_03689,Suspension,2023-07-20,Complied
ENF_000443,SPSV_02564,Fine,2025-10-16,Appealed
ENF_000444,SPSV_01327,Warning,2025-11-10,Complied
ENF_000445,SPSV_00887,Suspension,2023-11-29,Complied
ENF_000446,SPSV_00416,Warning,2024-09-24,Appealed
ENF_000447,SPSV_00626,Warning,2023-11-11,Complied
ENF_000448,SPSV_02135,Suspension,2022-02-09,Complied
ENF_000449,SPSV_03801,Fine,2025-12-21,Complied
ENF_000450,SPSV_04365,Suspension,2025-05-25,Pending
ENF_000451,SPSV_04444,Warning,2024-10-28,Complied
ENF_000452,SPSV_04341,Warning,2024-10-24,Not Upheld
