Inspection_ID,Licence_ID,Inspection_Date,Inspection_Type,Outcome,Breach_Category,Follow_Up_Required
INSP_000061,SPSV_02784,2024-12-20,Routine,Pass,None,No
INSP_000062,SPSV_02720,2025-11-09,Routine,Pass,None,No
INSP_000063,SPSV_01745,2022-01-27,Routine,Pass,None,No
INSP_000064,SPSV_00994,2025-12-02,Complaint-Led,,Safety,Yes
INSP_000065,SPSV_04899,2025-12-24,Routine,Pass,None,No
INSP_000066,SPSV_03321,2025-08-22,Routine,Pass,None,No
INSP_000067,SPSV_03047,2024-11-19,Routine,Pass,None,No
INSP_000068,SPSV_02389,2025-08-05,Routine,Pass,None,No
INSP_000069,SPSV_04896,2022-12-14,Targeted,Fail,Safety,No
INSP_000070,SPSV_02000,2022-08-03,Routine,Pass,None,No
INSP_000071,SPSV_00535,2023-08-13,Targeted,Pass,None,No
INSP_000072,SPSV_03030,2022-08-19,Targeted,Pass,None,No
INSP_000073,SPSV_00735,2025-09-11,Routine,Pass,None,No
INSP_000074,SPSV_03238,2024-03-14,Routine,Pass,None,No
INSP_000075,SPSV_00950,2022-02-28,Follow-Up,Pass,None,No
INSP_000076,SPSV_00548,2023-07-28,Routine,Fail,Documentation,Yes
INSP_000077,SPSV_00312,2024-07-10,Routine,Pass,None,No
INSP_000078,SPSV_00969,2022-08-18,Follow-Up,Pass,None,No
INSP_000079,SPSV_02275,2024-05-14,Targeted,,None,No
INSP_000080,SPSV_01083,2022-07-13,Routine,Pass,None,No
INSP_000081,SPSV_02817,2025-11-05,Routine,Pass,None,No
INSP_000082,SPSV_00721,2025-01-16,Targeted,Pass,None,No
INSP_000083,SPSV_04345,2025-03-15,Routine,Pass,None,No
INSP_000084,SPSV_02010,2022-10-03,Routine,,Other,Yes
INSP_000085,SPSV_02309,2022-08-22,Routine,Pass,None,No
INSP_000086,SPSV_01427,2023-08-14,Complaint-Led,Fail,Safety,Yes
INSP_000087,SPSV_04154,2025-03-20,Routine,Pass,None,No
INSP_000088,SPSV_03129,2022-11-15,Routine,Fail,Safety,Yes
INSP_000089,SPSV_03754,2025-05-12,Routine,Pass,None,No
INSP_000090,SPSV_00073,2023-08-06,Routine,Fail,Documentation,Yes
INSP_000091,SPSV_04081,2022-08-03,Routine,Pass,None,No
INSP_000092,SPSV_04149,2023-01-07,Follow-Up,Pass,None,No
INSP_000093,SPSV_02617,2022-04-15,Routine,Pass,None,No
INSP_000094,SPSV_04990,2023-06-21,Routine,Pass,None,No
INSP_000095,SPSV_04199,2022-08-13,Routine,Pass,None,No
INSP_000096,SPSV_01136,2025-05-22,Routine,Pass,None,No
INSP_000097,SPSV_00819,2023-11-21,Routine,Fail,Safety,Yes
INSP_000098,SPSV_00918,2025-07-01,Routine,Fail,Insurance,Yes
INSP_000099,SPSV_01531,2023-08-05,Routine,Pass,None,No
INSP_000100,SPSV_04466,2023-08-12,Routine,Pass,None,No
INSP_000101,SPSV_01050,2025-12-02,Targeted,Pass,None,No
INSP_000102,SPSV_00025,2024-07-01,Routine,Fail,Insurance,Yes
INSP_000103,SPSV_04933,2023-11-08,Routine,Pass,None,No
INSP_000104,SPSV_00928,2025-09-18,Complaint-Led,Pass,None,No
INSP_000105,SPSV_03593,2023-11-07,Follow-Up,Pass,None,No
INSP_000106,SPSV_01846,2025-11-10,Targeted,Fail,Safety,Yes
INSP_000107,SPSV_03860,2022-07-18,Routine,Pass,None,No
INSP_000108,SPSV_02500,2025-12-06,Routine,Pass,None,No
INSP_000109,SPSV_04803,2025-10-11,Complaint-Led,Fail,Documentation,No
INSP_000110,SPSV_04779,2023-04-14,Complaint-Led,Pass,None,No
INSP_000111,SPSV_01928,2024-11-13,Routine,Pass,None,No
INSP_000112,SPSV_00686,2024-03-24,Routine,Pass,None,No
INSP_000113,SPSV_02015,2023-05-18,Routine,Pass,None,No
INSP_000114,SPSV_01682,2025-08-07,Routine,Pass,None,No
INSP_000115,SPSV_00139,2023-09-12,Routine,Pass,None,No
INSP_000116,SPSV_00498,2024-09-28,Routine,Pass,None,No
INSP_000117,SPSV_02889,2022-09-11,Routine,Pass,None,No
INSP_000118,SPSV_01049,2024-01-22,Routine,Pass,None,No
INSP_000119,SPSV_00406,2024-08-10,Complaint-Led,Fail,Accessibility,Yes
INSP_000120,SPSV_01751,2023-05-26,Targeted,Pass,None,No
INSP_000121,SPSV_02494,2022-02-08,Routine,Pass,None,No
INSP_000122,SPSV_02725,2024-04-20,Routine,Pass,None,No
INSP_000123,SPSV_01617,2024-11-28,Routine,Pass,None,No
INSP_000124,SPSV_02868,2025-02-21,Targeted,Fail,Accessibility,No
INSP_000125,SPSV_01101,2025-02-24,Routine,Fail,Insurance,Yes
INSP_000126,SPSV_03396,2023-01-13,Targeted,Pass,None,No
INSP_000127,SPSV_00480,2025-10-09,Routine,Pass,None,No
INSP_000128,SPSV_04380,2022-06-21,Routine,Fail,Documentation,Yes
INSP_000129,SPSV_01710,2022-04-16,Routine,Fail,Insurance,No
INSP_000130,SPSV_03240,2022-07-24,Follow-Up,Pass,None,No
INSP_000131,SPSV_03535,2025-10-31,Routine,Pass,None,No
INSP_000132,SPSV_04193,2022-06-05,Complaint-Led,Pass,None,No
INSP_000133,SPSV_00453,2023-12-20,Routine,Fail,Documentation,Yes
INSP_000134,SPSV_04489,2024-07-05,Routine,Pass,None,No
INSP_000135,SPSV_01914,2025-03-20,Targeted,Fail,Other,No
INSP_000136,SPSV_01370,2024-12-13,Follow-Up,Pass,None,No
INSP_000137,SPSV_02434,2023-11-29,Routine,Pass,None,No
INSP_000138,SPSV_00531,2025-11-04,Routine,Pass,None,No
INSP_000139,SPSV_01944,2024-03-25,Targeted,Fail,Safety,No
INSP_000140,SPSV_02498,2024-01-15,Routine,Pass,None,No
INSP_000141,SPSV_01552,2023-05-15,Routine,Pass,None,No
INSP_000142,SPSV_00405,2023-09-28,Routine,Pass,None,No
INSP_000143,SPSV_00522,2024-12-21,Routine,Pass,None,No
INSP_000144,SPSV_00618,2024-07-29,Targeted,Pass,none,No
INSP_000145,SPSV_02065,2022-09-06,Routine,Pass,None,No
INSP_000146,SPSV_04300,2023-10-03,Routine,Fail,Safety,Yes
INSP_000147,SPSV_01737,2022-11-10,Routine,Fail,Safety,Yes
INSP_000148,SPSV_03762,2023-04-15,Routine,Pass,None,No
INSP_000149,SPSV_01535,2025-05-30,Complaint-Led,Pass,None,No
INSP_000150,SPSV_01034,2022-04-21,Complaint-Led,Fail,Safety,No
INSP_000151,SPSV_04880,2024-03-03,Routine,Pass,None,No
INSP_000152,SPSV_01793,2022-01-09,Routine,Pass,None,No
INSP_000153,SPSV_03721,2022-11-15,Routine,Pass,None,No
INSP_000154,SPSV_02237,2024-11-20,Follow-Up,Fail,Documentation,Yes
INSP_000155,SPSV_02334,2024-10-25,Routine,Pass,None,No
INSP_000156,SPSV_01741,2025-06-24,Routine,Pass,None,No
INSP_000157,SPSV_00328,2025-04-15,Follow-Up,Pass,None,No
INSP_000158,SPSV_00695,2022-02-10,Targeted,Pass,None,No
INSP_000159,SPSV_02929,2022-07-31,Routine,Fail,Documentation,No
INSP_000160,SPSV_02484,2025-10-20,Routine,Pass,None,No
INSP_000161,SPSV_00331,2024-03-31,Targeted,Pass,None,No
INSP_000162,SPSV_00775,2024-11-01,Routine,Pass,None,No
INSP_000163,SPSV_01281,2022-12-09,Routine,Pass,None,No
INSP_000164,SPSV_01056,2025-01-16,Routine,Pass,None,No
INSP_000165,SPSV_02366,2022-09-16,Complaint-Led,Pass,None,No
INSP_000166,SPSV_03215,2023-02-02,Routine,Pass,None,No
INSP_000167,SPSV_03026,2022-06-27,Routine,Pass,None,No
INSP_000168,SPSV_01116,2024-09-14,Follow-Up,Pass,None,No
INSP_000169,SPSV_04285,2023-03-11,Routine,Pass,None,No
INSP_000170,SPSV_00845,2022-06-20,Routine,Fail,Safety,No
INSP_000171,SPSV_02082,2024-09-12,Complaint-Led,Pass,None,No
INSP_000172,SPSV_00118,2022-07-17,Routine,Pass,None,No
INSP_000173,SPSV_04875,2023-09-16,Complaint-Led,Fail,Accessibility,Yes
INSP_000174,SPSV_03036,2023-11-10,Follow-Up,Pass,None,No
INSP_000175,SPSV_02048,2024-02-03,Targeted,Pass,None,No
INSP_000176,SPSV_01238,2024-03-05,Follow-Up,Pass,None,No
INSP_000177,SPSV_02177,2024-09-30,Routine,Fail,Insurance,Yes
INSP_000178,SPSV_00212,2022-12-14,Routine,Pass,None,No
INSP_000179,SPSV_04257,2024-09-05,Routine,Pass,None,No
INSP_000180,SPSV_03181,2022-11-08,Complaint-Led,Fail,Other,Yes
INSP_000181,SPSV_01601,2022-03-23,Routine,Pass,None,No
INSP_000182,SPSV_03136,2025-11-20,Routine,Pass,None,No
INSP_000183,SPSV_00032,2022-12-03,Targeted,Pass,None,No
INSP_000184,SPSV_03197,2024-07-16,Routine,Pass,None,No
INSP_000185,SPSV_04717,2024-01-19,Targeted,Pass,None,No
INSP_000186,SPSV_03242,2023-03-27,Targeted,Fail,Safety,Yes
INSP_000187,SPSV_00902,2024-03-02,Follow-Up,Fail,Safety,No
INSP_000188,SPSV_04341,2024-11-15,Targeted,Fail,Safety,Yes
INSP_000189,SPSV_02304,2022-08-29,Routine,Pass,None,No
INSP_000190,SPSV_03870,2025-09-04,Targeted,Pass,None,No
INSP_000191,SPSV_04840,2023-11-23,Routine,Fail,Safety,No
INSP_000192,SPSV_02151,2025-03-09,Targeted,Pass,None,No
INSP_000193,SPSV_03033,2025-01-29,Routine,Pass,None,No
INSP_000194,SPSV_04633,2025-07-31,Routine,Pass,None,No
INSP_000195,SPSV_03345,2025-04-06,Complaint-Led,Pass,None,No
INSP_000196,SPSV_02668,2024-07-21,Targeted,Pass,None,No
INSP_000197,SPSV_04123,2024-02-07,Routine,Pass,None,No
INSP_000198,SPSV_00651,2025-12-22,Targeted,Pass,None,No
INSP_000199,SPSV_04230,2024-09-15,Targeted,Pass,None,No
INSP_000200,SPSV_01615,2024-04-01,Complaint-Led,Fail,insurance,No
INSP_000201,SPSV_04824,2023-07-19,Follow-Up,Pass,None,No
INSP_000202,SPSV_04811,2024-04-17,Follow-Up,Pass,None,No
INSP_000203,SPSV_02154,2025-03-26,Follow-Up,Pass,None,No
INSP_000204,SPSV_00477,2024-04-26,Routine,Fail,Safety,No
INSP_000205,SPSV_03016,2022-06-20,Routine,Pass,None,No
INSP_000206,SPSV_02936,2025-07-21,Routine,Pass,None,No
INSP_000207,SPSV_03387,2022-01-31,Routine,Pass,None,No
INSP_000208,SPSV_03082,2025-12-13,Follow-Up,Fail,Documentation,Yes
INSP_000209,SPSV_03636,2022-11-12,Routine,Pass,None,No
INSP_000210,SPSV_02775,2025-10-29,Routine,Fail,Safety,Yes
INSP_000211,SPSV_03968,2022-06-06,Complaint-Led,Pass,None,No
INSP_000212,SPSV_03430,2024-02-19,Routine,Pass,None,No
INSP_000213,SPSV_04831,2025-01-10,Routine,Fail,Safety,No
INSP_000214,SPSV_04586,2025-01-10,Targeted,Pass,None,No
INSP_000215,SPSV_04820,2023-12-30,Targeted,Pass,None,No
INSP_000216,SPSV_04144,2022-02-14,Routine,,None,No
INSP_000217,SPSV_01209,2024-05-09,Follow-Up,Pass,None,No
INSP_000218,SPSV_02151,2025-01-13,Routine,Fail,Safety,Yes
INSP_000219,SPSV_01248,2025-09-19,Routine,Pass,None,No
INSP_000220,SPSV_03865,2022-07-12,Routine,Pass,None,No
INSP_000221,SPSV_03675,2022-07-03,Follow-Up,Pass,None,No
INSP_000222,SPSV_01401,2023-06-23,Complaint-Led,Fail,Documentation,No
INSP_000223,SPSV_03031,2025-04-27,Targeted,Fail,Documentation,Yes
INSP_000224,SPSV_04207,2025-11-23,Complaint-Led,Pass,None,No
INSP_000225,SPSV_00322,2024-12-26,Routine,Pass,None,No
INSP_000226,SPSV_03712,2023-07-21,Targeted,Pass,None,No
INSP_000227,SPSV_04859,2023-06-17,Follow-Up,Pass,None,No
INSP_000228,SPSV_03225,2023-05-21,Routine,Fail,Accessibility,Yes
INSP_000229,SPSV_02989,2024-06-30,Routine,Pass,None,No
INSP_000230,SPSV_01815,2022-06-09,Targeted,Pass,None,No
INSP_000231,SPSV_01380,2022-09-26,Routine,Pass,None,No
INSP_000232,SPSV_00343,2023-09-01,Routine,Pass,None,No
INSP_000233,SPSV_04728,2023-05-12,Follow-Up,Pass,None,No
INSP_000234,SPSV_01441,2024-02-17,Routine,Pass,None,No
INSP_000235,SPSV_04872,2025-06-30,Complaint-Led,Pass,None,No
INSP_000236,SPSV_00737,2025-11-05,Follow-Up,Fail,Insurance,Yes
INSP_000237,SPSV_04862,2023-04-04,Complaint-Led,Pass,None,No
INSP_000238,SPSV_01181,2024-05-06,Routine,Pass,none,No
INSP_000239,SPSV_00880,2022-10-28,Routine,Pass,None,No
INSP_000240,SPSV_01423,2024-09-02,Follow-Up,Pass,None,No
INSP_000241,SPSV_02853,2025-11-28,Targeted,Pass,None,No
INSP_000242,SPSV_02963,2025-09-24,Follow-Up,Pass,None,No
INSP_000243,SPSV_04088,2022-06-01,Follow-Up,Pass,None,No
INSP_000244,SPSV_00443,2024-04-04,Routine,Pass,None,No
INSP_000245,SPSV_03507,2025-05-06,Complaint-Led,Pass,None,No
INSP_000246,SPSV_00248,2022-12-23,Follow-Up,Pass,None,No
INSP_000247,SPSV_02979,2023-01-06,Complaint-Led,Pass,None,No
INSP_000248,SPSV_01498,2024-10-10,Routine,Fail,Insurance,Yes
INSP_000249,SPSV_02166,2022-08-20,Targeted,Pass,None,No
INSP_000250,SPSV_04188,2024-11-23,Follow-Up,Pass,None,No
INSP_000251,SPSV_04054,2022-05-19,Routine,Pass,None,No
INSP_000252,SPSV_01572,2024-11-29,Routine,Pass,None,No
INSP_000253,SPSV_04944,2023-03-25,Follow-Up,Pass,None,No
INSP_000254,SPSV_01548,2022-07-29,Routine,Pass,None,No
INSP_000255,SPSV_01991,2023-08-27,Targeted,Pass,None,No
INSP_000256,SPSV_01825,2023-06-03,Complaint-Led,Pass,None,No
INSP_000257,SPSV_03147,2022-07-31,Routine,Pass,None,No
INSP_000258,SPSV_01747,2025-11-07,Complaint-Led,Pass,None,No
INSP_000259,SPSV_02761,2022-05-10,Routine,Pass,None,No
INSP_000260,SPSV_04301,2023-09-10,Routine,Fail,Safety,No
INSP_000261,SPSV_04637,2023-09-01,Routine,Fail,Documentation,Yes
INSP_000262,SPSV_00826,2025-10-22,Routine,Fail,Insurance,Yes
INSP_000263,SPSV_00023,2024-08-15,Routine,Pass,None,No
INSP_000264,SPSV_04229,2022-11-09,Follow-Up,Pass,None,No
INSP_000265,SPSV_00059,2025-09-21,Routine,Pass,None,No
INSP_000266,SPSV_01680,2025-12-26,Routine,Pass,None,No
INSP_000267,SPSV_01630,2022-07-26,Routine,Pass,None,No
INSP_000268,SPSV_01941,2022-08-10,Complaint-Led,Pass,None,No
INSP_000269,SPSV_04869,2024-05-22,Targeted,Pass,None,No
INSP_000270,SPSV_01526,2025-10-08,Routine,Pass,None,No
INSP_000271,SPSV_03243,2023-11-17,Follow-Up,Pass,None,No
INSP_000272,SPSV_03198,2022-10-11,Targeted,Fail,Accessibility,Yes
INSP_000273,SPSV_04062,2022-03-06,Routine,Fail,Accessibility,No
INSP_000274,SPSV_03158,2024-01-07,Routine,Pass,None,No
INSP_000275,SPSV_00621,2025-05-31,Routine,Pass,None,No
INSP_000276,SPSV_03586,2024-03-23,Routine,Pass,None,No
INSP_000277,SPSV_04652,2024-05-05,Targeted,Fail,Accessibility,Yes
INSP_000278,SPSV_00716,2025-03-31,Routine,Pass,None,No
INSP_000279,SPSV_00106,2023-01-03,Routine,Pass,None,No
INSP_000280,SPSV_02970,2025-10-18,Targeted,,None,No
INSP_000281,SPSV_00729,2025-02-23,Targeted,Pass,None,No
INSP_000282,SPSV_04401,2023-11-22,Follow-Up,Fail,Safety,No
INSP_000283,SPSV_02139,2024-10-23,Routine,Pass,None,No
INSP_000284,SPSV_02544,2024-02-10,Routine,Pass,none,No
INSP_000285,SPSV_03153,2024-10-04,Routine,Pass,None,No
INSP_000286,SPSV_00697,2025-06-09,Routine,Fail,Accessibility,Yes
INSP_000287,SPSV_04230,2022-09-28,Targeted,Pass,none,No
INSP_000288,SPSV_00407,2025-04-29,Targeted,Fail,Other,No
INSP_000289,SPSV_01580,2024-02-23,Routine,Pass,None,No
INSP_000290,SPSV_03569,2025-09-08,Routine,Pass,None,No
INSP_000291,SPSV_02349,2025-10-19,Routine,Pass,None,No
INSP_000292,SPSV_03315,2022-12-10,Targeted,Pass,None,No
INSP_000293,SPSV_03320,2025-09-23,Follow-Up,Fail,Documentation,Yes
INSP_000294,SPSV_00516,2022-05-12,Follow-Up,Pass,None,No
INSP_000295,SPSV_02145,2024-09-09,Routine,Pass,None,No
INSP_000296,SPSV_03426,2022-04-16,Follow-Up,,Documentation,Yes
INSP_000297,SPSV_00953,2024-03-19,Follow-Up,Fail,Safety,No
INSP_000298,SPSV_01746,2025-03-22,Targeted,Pass,None,No
INSP_000299,SPSV_04332,2024-05-29,Routine,Fail,Documentation,Yes
INSP_000300,SPSV_02185,2024-05-07,Follow-Up,Pass,None,No
INSP_000301,SPSV_03429,2023-07-21,Routine,Pass,None,No
INSP_000302,SPSV_01072,2022-10-07,Targeted,Pass,None,No
INSP_000303,SPSV_01188,2022-06-12,Routine,Pass,None,No
INSP_000304,SPSV_00500,2024-05-03,Follow-Up,Pass,None,No
INSP_000305,SPSV_02243,2025-12-18,Routine,Pass,None,No
INSP_000306,SPSV_04370,2022-04-11,Routine,Pass,None,No
INSP_000307,SPSV_02550,2023-07-25,Routine,Pass,None,No
INSP_000308,SPSV_01497,2023-10-07,Follow-Up,Pass,None,No
INSP_000309,SPSV_02474,2023-10-23,Routine,Fail,Documentation,No
INSP_000310,SPSV_00821,2024-05-29,Routine,Pass,None,No
INSP_000311,SPSV_01000,2025-03-07,Follow-Up,Pass,None,No
INSP_000312,SPSV_00574,2022-05-20,Routine,Pass,None,No
INSP_000313,SPSV_04030,2023-12-01,Targeted,Pass,None,No
INSP_000314,SPSV_04036,2025-02-06,Follow-Up,Pass,None,No
INSP_000315,SPSV_01699,2023-07-23,Routine,Pass,None,No
INSP_000316,SPSV_03043,2025-01-19,Routine,Pass,None,No
INSP_000317,SPSV_03257,2025-02-02,Routine,Pass,None,No
INSP_000318,SPSV_02188,2024-10-12,Targeted,Pass,None,No
INSP_000319,SPSV_01779,2024-10-08,Complaint-Led,Pass,None,No
INSP_000320,SPSV_00049,2025-03-07,Complaint-Led,Pass,None,No
INSP_000321,SPSV_01495,2023-11-01,Follow-Up,Pass,None,No
INSP_000322,SPSV_01174,2025-12-20,Routine,Pass,none,No
INSP_000323,SPSV_01351,2025-06-03,Routine,Pass,None,No
INSP_000324,SPSV_00919,2023-07-16,Routine,Pass,None,No
INSP_000325,SPSV_00351,2022-01-21,Routine,Pass,None,No
INSP_000326,SPSV_01927,2025-12-04,Routine,Pass,None,No
INSP_000327,SPSV_01918,2023-05-09,Routine,Pass,None,No
INSP_000328,SPSV_04374,2023-07-20,Follow-Up,Pass,None,No
INSP_000329,SPSV_04661,2025-07-20,Routine,Pass,None,No
INSP_000330,SPSV_01310,2023-07-31,Routine,Pass,None,No
INSP_000331,SPSV_04250,2025-10-25,Routine,Pass,None,No
INSP_000332,SPSV_04521,2024-08-26,Routine,Pass,None,No
INSP_000333,SPSV_03960,2025-01-14,Routine,Fail,Documentation,Yes
INSP_000334,SPSV_02350,2025-09-26,Routine,Pass,None,No
INSP_000335,SPSV_02962,2024-04-27,Targeted,Fail,Safety,Yes
INSP_000336,SPSV_04767,2025-01-08,Routine,Pass,None,No
INSP_000337,SPSV_04105,2024-09-04,Follow-Up,Pass,None,No
INSP_000338,SPSV_01502,2025-02-23,Follow-Up,Pass,None,No
INSP_000339,SPSV_02824,2023-05-24,Routine,Fail,Safety,No
INSP_000340,SPSV_00068,2022-03-19,Routine,Pass,None,No
INSP_000341,SPSV_01332,2022-01-22,Routine,Pass,None,No
INSP_000342,SPSV_04398,2024-02-12,Complaint-Led,Pass,None,No
INSP_000343,SPSV_02321,2022-08-13,Routine,Pass,None,No
INSP_000344,SPSV_02608,2023-04-29,Routine,Pass,None,No
INSP_000345,SPSV_00764,2024-01-13,Follow-Up,Pass,None,No
INSP_000346,SPSV_04613,2023-08-08,Routine,Pass,None,No
INSP_000347,SPSV_00478,2022-02-06,Follow-Up,Pass,None,No
INSP_000348,SPSV_04614,2022-02-07,Routine,Pass,None,No
INSP_000349,SPSV_02790,2022-05-28,Routine,Pass,None,No
INSP_000350,SPSV_04142,2024-12-08,Routine,Pass,None,No
INSP_000351,SPSV_01024,2023-07-16,Routine,Pass,None,No
INSP_000352,SPSV_01893,2024-06-17,Routine,Fail,Other,Yes
INSP_000353,SPSV_04543,2023-04-14,Targeted,Pass,None,No
INSP_000354,SPSV_04739,2022-12-03,Routine,Pass,None,No
INSP_000355,SPSV_02427,2022-11-14,Complaint-Led,Pass,None,No
INSP_000356,SPSV_04743,2022-03-30,Routine,Pass,None,No
INSP_000357,SPSV_04112,2024-01-09,Routine,Pass,None,No
INSP_000358,SPSV_01532,2025-04-27,Routine,Fail,Safety,Yes
INSP_000359,SPSV_04700,2023-10-26,Routine,Pass,None,No
INSP_000360,SPSV_01402,2025-05-13,Routine,Pass,None,No
INSP_000361,SPSV_00655,2022-03-11,Targeted,Pass,none,No
INSP_000362,SPSV_00775,2022-09-10,Follow-Up,Fail,Insurance,Yes
INSP_000363,SPSV_03696,2023-06-12,Routine,Pass,None,No
INSP_000364,SPSV_03824,2025-03-23,Targeted,Pass,None,No
INSP_000365,SPSV_03256,2024-07-04,Targeted,Pass,None,No
INSP_000366,SPSV_04070,2024-02-21,Complaint-Led,Pass,None,No
INSP_000367,SPSV_00610,2022-08-15,Targeted,Pass,None,No
INSP_000368,SPSV_00385,2023-02-14,Routine,Pass,None,No
INSP_000369,SPSV_00718,2022-07-10,Targeted,Fail,Documentation,No
INSP_000370,SPSV_03159,2022-08-28,Routine,Pass,None,No
INSP_000371,SPSV_00192,2025-11-18,Routine,Pass,None,No
INSP_000372,SPSV_03276,2023-11-24,Targeted,Fail,Insurance,Yes
INSP_000373,SPSV_02071,2022-01-14,Routine,Fail,Documentation,Yes
INSP_000374,SPSV_02744,2023-01-15,Complaint-Led,Pass,None,No
INSP_000375,SPSV_01643,2024-11-12,Routine,Pass,None,No
INSP_000376,SPSV_03573,2022-12-03,Routine,Pass,None,No
INSP_000377,SPSV_04019,2023-03-02,Routine,Pass,None,No
INSP_000378,SPSV_04945,2025-05-23,Routine,Pass,None,No
INSP_000379,SPSV_00159,2023-06-30,Routine,Pass,None,No
INSP_000380,SPSV_03386,2024-07-25,Routine,Pass,None,No
INSP_000381,SPSV_02010,2024-09-08,Routine,Pass,None,No
INSP_000382,SPSV_04729,2023-08-13,Routine,Pass,None,No
INSP_000383,SPSV_02723,2024-06-02,Routine,Pass,None,No
INSP_000384,SPSV_03873,2022-11-07,Targeted,Pass,None,No
INSP_000385,SPSV_03999,2025-12-19,Routine,Pass,None,No
INSP_000386,SPSV_01230,2024-08-19,Complaint-Led,Pass,None,No
INSP_000387,SPSV_03850,2023-06-18,Follow-Up,Pass,None,No
INSP_000388,SPSV_03225,2024-07-31,Targeted,Pass,None,No
INSP_000389,SPSV_01449,2025-09-30,Routine,Fail,Accessibility,Yes
