Complaint_ID,Licence_ID,Complaint_Type,Date_Received,Resolved,Days_To_Resolution,Escalated
CMP_000054,SPSV_01349,Conduct,2022-11-23,Yes,6.0,No
CMP_000055,SPSV_01623,Overcharging,2022-04-25,Yes,64.0,No
CMP_000056,SPSV_01137,No Show,2025-09-19,No,,No
CMP_000057,SPSV_02461,Overcharging,2025-04-26,Yes,7.0,No
CMP_000058,SPSV_00475,Overcharging,2022-07-19,Yes,51.0,No
CMP_000059,SPSV_04163,Conduct,2022-03-17,Yes,6.0,No
CMP_000060,SPSV_04494,Overcharging,2025-01-27,Yes,22.0,Yes
CMP_000061,SPSV_01262,Vehicle Safety,2024-02-09,Yes,17.0,No
CMP_000062,SPSV_01751,Overcharging,2024-01-11,No,,No
CMP_000063,SPSV_03667,Overcharging,2025-09-02,Yes,10.0,No
CMP_000064,SPSV_03034,Refusal of Hire,2024-10-10,Yes,38.0,No
CMP_000065,SPSV_04224,Other,2024-04-29,Yes,8.0,No
CMP_000066,SPSV_02889,Vehicle Safety,2024-12-19,No,,No
CMP_000067,SPSV_00011,Refusal of Hire,2025-05-18,Yes,4.0,No
CMP_000068,SPSV_00709,Accessibility,2025-11-14,No,,Yes
CMP_000069,SPSV_04558,Conduct,2025-04-03,Yes,8.0,No
CMP_000070,SPSV_02472,No Show,2022-10-24,Yes,73.0,No
CMP_000071,SPSV_01880,Overcharging,2024-06-28,Yes,23.0,No
CMP_000072,SPSV_02528,Accessibility,2023-01-05,Yes,22.0,No
CMP_000073,SPSV_03926,Refusal of Hire,2025-09-07,No,,No
CMP_000074,SPSV_00945,Conduct,2023-10-06,Yes,8.0,Yes
CMP_000075,SPSV_00676,Vehicle Safety,2025-04-17,No,,Yes
CMP_000076,SPSV_01083,Refusal of Hire,2025-07-15,No,,No
CMP_000077,SPSV_00476,Overcharging,2024-10-26,No,,Yes
CMP_000078,SPSV_00005,Vehicle Safety,2025-08-14,Yes,9.0,No
CMP_000079,SPSV_02631,Refusal of Hire,2024-11-11,No,,Yes
CMP_000080,SPSV_03883,Vehicle Safety,2022-09-16,Yes,17.0,No
CMP_000081,SPSV_02683,Conduct,2024-11-15,No,,No
CMP_000082,SPSV_03760,Refusal of Hire,2024-12-17,Yes,9.0,No
CMP_000083,SPSV_01889,Vehicle Safety,2022-07-25,No,,No
CMP_000084,SPSV_01636,Conduct,2022-09-21,Yes,7.0,No
CMP_000085,SPSV_01965,Refusal of Hire,2025-10-15,Yes,7.0,No
CMP_000086,SPSV_04869,Refusal of Hire,2025-04-05,Yes,12.0,No
CMP_000087,SPSV_00134,Conduct,2024-07-28,Yes,9.0,No
CMP_000088,SPSV_02912,Accessibility,2023-09-22,Yes,18.0,No
CMP_000089,SPSV_01066,No Show,2022-06-02,No,,No
CMP_000090,SPSV_02934,Other,2023-02-16,Yes,11.0,No
CMP_000091,SPSV_01854,Accessibility,2025-01-12,Yes,36.0,No
CMP_000092,SPSV_00898,Conduct,2023-01-22,Yes,12.0,No
CMP_000093,SPSV_00416,No Show,2025-02-21,Yes,5.0,No
CMP_000094,SPSV_03201,Overcharging,2022-05-25,Yes,8.0,No
CMP_000095,SPSV_03717,Conduct,2024-01-21,Yes,59.0,No
CMP_000096,SPSV_00613,Conduct,2022-12-01,Yes,37.0,No
CMP_000097,SPSV_00880,Overcharging,2025-02-17,No,,Yes
CMP_000098,SPSV_01876,No Show,2024-05-07,Yes,12.0,Yes
CMP_000099,SPSV_03177,Accessibility,2022-02-11,Yes,10.0,No
CMP_000100,SPSV_03119,Vehicle Safety,2025-11-07,No,,No
CMP_000101,SPSV_01284,Overcharging,2025-02-03,Yes,31.0,Yes
CMP_000102,SPSV_02229,No Show,2024-03-21,No,,No
CMP_000103,SPSV_04824,Other,2025-05-05,No,,No
CMP_000104,SPSV_04231,Conduct,2024-11-22,Yes,17.0,No
CMP_000105,SPSV_01026,Refusal of Hire,2025-08-11,Yes,66.0,No
CMP_000106,SPSV_04857,Vehicle Safety,2023-03-15,Yes,19.0,No
CMP_000107,SPSV_03584,Conduct,2022-02-13,No,,No
CMP_000108,SPSV_03040,Vehicle Safety,2023-04-14,No,,No
CMP_000109,SPSV_03019,Refusal of Hire,2024-03-31,No,,Yes
CMP_000110,SPSV_01618,Accessibility,2022-06-01,No,,No
CMP_000111,SPSV_02959,No Show,2022-08-17,Yes,20.0,No
CMP_000112,SPSV_00368,Refusal of Hire,2022-06-18,Yes,11.0,No
CMP_000113,SPSV_01816,Conduct,2023-05-02,Yes,20.0,No
CMP_000114,SPSV_03600,Vehicle Safety,2024-10-06,Yes,7.0,No
CMP_000115,SPSV_00348,No Show,2023-05-29,No,,No
CMP_000116,SPSV_03438,Conduct,2022-11-06,No,,No
CMP_000117,SPSV_02999,No Show,2024-04-25,Yes,8.0,No
CMP_000118,SPSV_00433,No Show,2023-03-02,no,,Yes
CMP_000119,SPSV_00774,No Show,2022-04-27,Yes,19.0,No
CMP_000120,SPSV_01424,Overcharging,2023-09-25,Yes,14.0,No
CMP_000121,SPSV_01766,Vehicle Safety,2025-07-20,Yes,8.0,No
CMP_000122,SPSV_03844,Other,2022-06-04,Yes,11.0,No
CMP_000123,SPSV_04514,Overcharging,2024-02-15,No,,Yes
CMP_000124,SPSV_04776,Other,2024-04-12,Yes,30.0,No
CMP_000125,SPSV_02054,Accessibility,2023-02-19,No,,No
CMP_000126,SPSV_00128,Refusal of Hire,2025-05-05,Yes,23.0,No
CMP_000127,SPSV_04680,Conduct,2024-01-13,Yes,22.0,No
CMP_000128,SPSV_00886,Conduct,2024-03-30,Yes,6.0,Yes
CMP_000129,SPSV_02950,Overcharging,2023-09-27,No,,No
CMP_000130,SPSV_04906,Accessibility,2022-04-14,Yes,19.0,No
CMP_000131,SPSV_03052,Conduct,2023-07-07,No,,No
CMP_000132,SPSV_00573,Vehicle Safety,2025-06-16,Yes,15.0,No
CMP_000133,SPSV_03175,Accessibility,2025-07-14,Yes,18.0,No
CMP_000134,SPSV_03369,Conduct,2022-03-09,No,,No
CMP_000135,SPSV_04845,Overcharging,2023-11-13,Yes,36.0,No
CMP_000136,SPSV_00414,Other,2025-09-23,No,,No
CMP_000137,SPSV_03872,Accessibility,2025-10-20,Yes,58.0,No
CMP_000138,SPSV_00846,Overcharging,2024-05-27,Yes,12.0,No
CMP_000139,SPSV_00080,Overcharging,2024-02-05,Yes,8.0,No
CMP_000140,SPSV_03493,Refusal of Hire,2025-02-28,Yes,44.0,No
CMP_000141,SPSV_01591,Refusal of Hire,2023-10-02,No,NA,Yes
CMP_000142,SPSV_03933,No Show,2025-01-10,Yes,22.0,No
CMP_000143,SPSV_04345,Conduct,2025-07-03,Yes,54.0,No
CMP_000144,SPSV_04249,Vehicle Safety,2025-01-12,Yes,13.0,No
CMP_000145,SPSV_03135,Conduct,2024-09-29,Yes,5.0,No
CMP_000146,SPSV_04538,Vehicle Safety,2023-04-30,Yes,27.0,No
CMP_000147,SPSV_01093,Overcharging,2024-11-25,Yes,13.0,No
CMP_000148,SPSV_01160,Accessibility,2023-01-14,Yes,14.0,Yes
CMP_000149,SPSV_02914,Conduct,2024-08-12,No,,No
CMP_000150,SPSV_02386,Refusal of Hire,2022-04-11,Yes,12.0,Yes
CMP_000151,SPSV_02525,Conduct,2023-06-20,No,,Yes
CMP_000152,SPSV_02219,Accessibility,2022-09-13,No,,No
CMP_000153,SPSV_01964,Vehicle Safety,2025-06-07,Yes,42.0,No
CMP_000154,SPSV_03653,Accessibility,2024-08-28,Yes,12.0,No
CMP_000155,SPSV_00237,Conduct,2023-05-01,Yes,40.0,No
CMP_000156,SPSV_02618,No Show,2025-01-12,No,,Yes
CMP_000157,SPSV_01239,Conduct,2025-08-14,Yes,10.0,No
CMP_000158,SPSV_01033,Overcharging,2022-05-30,No,,No
CMP_000159,SPSV_00059,Conduct,2024-11-11,Yes,15.0,No
CMP_000160,SPSV_04498,Other,2022-05-11,Yes,8.0,No
CMP_000161,SPSV_04159,Accessibility,2023-11-05,Yes,7.0,No
CMP_000162,SPSV_04926,Vehicle Safety,2024-07-09,Yes,20.0,No
CMP_000163,SPSV_04800,Accessibility,2024-07-02,Yes,2.0,No
CMP_000164,SPSV_02951,Overcharging,2023-12-02,Yes,12.0,No
CMP_000165,SPSV_04599,Vehicle Safety,2024-04-08,Yes,7.0,No
CMP_000166,SPSV_04901,No Show,2025-12-10,Yes,12.0,No
CMP_000167,SPSV_04819,Conduct,2025-09-17,No,,Yes
CMP_000168,SPSV_01002,No Show,2024-05-17,Yes,14.0,No
CMP_000169,SPSV_02049,Overcharging,2024-01-29,No,,No
CMP_000170,SPSV_04966,Refusal of Hire,2023-11-05,Yes,12.0,No
CMP_000171,SPSV_02100,Overcharging,2022-09-16,No,,Yes
CMP_000172,SPSV_03828,Vehicle Safety,2025-05-13,Yes,10.0,No
CMP_000173,SPSV_03645,Refusal of Hire,2025-05-26,No,,No
CMP_000174,SPSV_03792,Conduct,2025-12-20,Yes,5.0,No
CMP_000175,SPSV_00818,Conduct,2022-12-02,Yes,11.0,No
CMP_000176,SPSV_00723,Vehicle Safety,2024-03-12,Yes,11.0,No
CMP_000177,SPSV_04272,Vehicle Safety,2024-09-25,Yes,18.0,No
CMP_000178,SPSV_04095,Overcharging,2023-05-12,Yes,13.0,No
CMP_000179,SPSV_02572,Overcharging,2023-09-30,Yes,46.0,No
CMP_000180,SPSV_03945,Vehicle Safety,2025-09-24,Yes,9.0,No
CMP_000181,SPSV_02942,Vehicle Safety,2025-07-31,Yes,10.0,No
CMP_000182,SPSV_02725,Vehicle Safety,2022-01-18,Yes,6.0,No
CMP_000183,SPSV_04271,Vehicle Safety,2024-11-01,Yes,8.0,No
CMP_000184,SPSV_01520,Overcharging,2024-11-10,No,,Yes
CMP_000185,SPSV_04389,Overcharging,2025-03-08,Yes,14.0,No
CMP_000186,SPSV_03862,No Show,2025-11-22,Yes,32.0,No
CMP_000187,SPSV_01347,Vehicle Safety,2024-07-10,Yes,22.0,No
CMP_000188,SPSV_00415,Conduct,2022-08-08,Yes,22.0,No
CMP_000189,SPSV_04466,Overcharging,2023-10-25,Yes,15.0,No
CMP_000190,SPSV_01740,Overcharging,2024-06-15,No,,No
CMP_000191,SPSV_03106,Conduct,2024-11-22,No,,Yes
CMP_000192,SPSV_01168,Refusal of Hire,2023-09-18,Yes,22.0,No
CMP_000193,SPSV_02760,Other,2025-08-18,Yes,11.0,No
CMP_000194,SPSV_02238,Accessibility,2025-11-14,Yes,7.0,No
CMP_000195,SPSV_01813,Accessibility,2023-07-19,Yes,20.0,No
CMP_000196,SPSV_01374,Vehicle Safety,2025-03-26,Yes,6.0,No
CMP_000197,SPSV_04070,Overcharging,2022-04-28,No,,No
CMP_000198,SPSV_00813,Conduct,2022-04-30,Yes,29.0,No
CMP_000199,SPSV_02223,Other,2024-11-17,No,,No
CMP_000200,SPSV_03501,Conduct,2023-12-10,Yes,6.0,No
CMP_000201,SPSV_01710,Conduct,2025-01-28,No,,Yes
CMP_000202,SPSV_04883,Overcharging,2024-01-30,Yes,7.0,No
CMP_000203,SPSV_04684,Vehicle Safety,2025-05-09,Yes,9.0,No
CMP_000204,SPSV_03416,Other,2023-06-07,Yes,21.0,No
CMP_000205,SPSV_02421,No Show,2024-07-03,Yes,6.0,No
CMP_000206,SPSV_03493,Conduct,2022-04-02,No,,Yes
CMP_000207,SPSV_04062,Vehicle Safety,2023-04-22,Yes,10.0,No
CMP_000208,SPSV_04382,Vehicle Safety,2022-08-14,No,,No
CMP_000209,SPSV_04804,Conduct,2022-02-14,Yes,13.0,No
CMP_000210,SPSV_03151,Other,2022-06-07,Yes,11.0,No
CMP_000211,SPSV_02257,Accessibility,2022-07-12,Yes,15.0,Yes
CMP_000212,SPSV_04577,Conduct,2025-10-21,Yes,23.0,No
CMP_000213,SPSV_01981,Overcharging,2025-01-13,Yes,11.0,No
CMP_000214,SPSV_01713,Other,2025-02-21,Yes,29.0,No
CMP_000215,SPSV_03778,Conduct,2025-09-05,No,,No
CMP_000216,SPSV_00543,Refusal of Hire,2022-07-04,No,,Yes
CMP_000217,SPSV_01903,Other,2024-11-28,Yes,18.0,No
CMP_000218,SPSV_03660,Conduct,2022-06-24,Yes,19.0,No
CMP_000219,SPSV_01544,Conduct,2023-06-27,Yes,10.0,Yes
CMP_000220,SPSV_03228,No Show,2023-08-24,Yes,49.0,No
CMP_000221,SPSV_01225,Refusal of Hire,2023-08-25,Yes,9.0,No
CMP_000222,SPSV_04084,Vehicle Safety,2023-01-15,Yes,26.0,No
CMP_000223,SPSV_04704,No Show,2025-10-12,Yes,13.0,No
CMP_000224,SPSV_02416,Accessibility,2024-01-03,Yes,9.0,No
CMP_000225,SPSV_01578,Conduct,2025-09-10,Yes,17.0,No
CMP_000226,SPSV_03270,Vehicle Safety,2025-04-14,Yes,17.0,No
CMP_000227,SPSV_04966,Vehicle Safety,2024-07-25,No,,No
CMP_000228,SPSV_01263,Conduct,2024-02-01,No,,Yes
CMP_000229,SPSV_03263,Refusal of Hire,2022-01-15,Yes,20.0,No
CMP_000230,SPSV_03768,Vehicle Safety,2023-08-04,Yes,15.0,No
CMP_000231,SPSV_01889,Conduct,2024-06-23,Yes,14.0,No
CMP_000232,SPSV_04812,No Show,2023-09-30,No,,No
CMP_000233,SPSV_00572,Vehicle Safety,2025-05-26,Yes,16.0,No
CMP_000234,SPSV_04393,Overcharging,2022-02-23,Yes,6.0,No
CMP_000235,SPSV_03680,No Show,2022-06-17,Yes,10.0,No
CMP_000236,SPSV_04085,Refusal of Hire,2022-01-08,Yes,15.0,No
CMP_000237,SPSV_00449,Other,2025-01-20,Yes,15.0,No
CMP_000238,SPSV_03201,Refusal of Hire,2022-01-12,Yes,18.0,No
CMP_000239,SPSV_03774,Vehicle Safety,2025-10-05,Yes,17.0,No
CMP_000240,SPSV_00816,Other,2025-03-27,Yes,20.0,No
CMP_000241,SPSV_02845,Conduct,2025-07-18,Yes,6.0,No
CMP_000242,SPSV_02436,No Show,2022-04-05,Yes,5.0,No
CMP_000243,SPSV_01351,Overcharging,2023-08-20,Yes,18.0,No
CMP_000244,SPSV_04765,Overcharging,2024-08-21,Yes,22.0,No
CMP_000245,SPSV_04951,Accessibility,2023-06-11,Yes,18.0,No
CMP_000246,SPSV_02698,Refusal of Hire,2022-08-22,No,,No
CMP_000247,SPSV_03571,Vehicle Safety,2022-01-27,Yes,11.0,No
CMP_000248,SPSV_04806,Refusal of Hire,2025-03-23,No,,No
CMP_000249,SPSV_00337,Other,2024-05-10,Yes,22.0,No
CMP_000250,SPSV_04677,Accessibility,2024-12-08,No,,No
CMP_000251,SPSV_02201,Refusal of Hire,2025-04-06,Yes,5.0,No
CMP_000252,SPSV_03310,Conduct,2022-08-02,Yes,22.0,No
CMP_000253,SPSV_04610,Vehicle Safety,2025-04-12,Yes,20.0,Yes
CMP_000254,SPSV_03225,Other,2025-12-28,No,,No
CMP_000255,SPSV_01171,No Show,2022-06-23,Yes,13.0,No
CMP_000256,SPSV_03194,Overcharging,2022-03-26,Yes,11.0,No
CMP_000257,SPSV_01371,Other,2022-01-05,No,,No
CMP_000258,SPSV_01420,Accessibility,2022-07-01,Yes,16.0,No
CMP_000259,SPSV_00237,Vehicle Safety,2025-12-23,Yes,22.0,Yes
CMP_000260,SPSV_00740,Accessibility,2025-09-18,No,,No
CMP_000261,SPSV_01662,Refusal of Hire,2023-02-10,Yes,13.0,No
CMP_000262,SPSV_02533,Overcharging,2024-05-09,No,,No
CMP_000263,SPSV_00620,Conduct,2025-05-09,No,,No
CMP_000264,SPSV_03142,Conduct,2024-07-18,No,,No
CMP_000265,SPSV_00588,Conduct,2022-09-05,Yes,9.0,Yes
CMP_000266,SPSV_01806,Refusal of Hire,2022-04-05,No,,No
CMP_000267,SPSV_02797,Refusal of Hire,2023-07-08,No,,No
CMP_000268,SPSV_00844,Other,2023-05-04,No,,No
CMP_000269,SPSV_02833,Other,2024-03-17,Yes,10.0,No
CMP_000270,SPSV_04126,Other,2024-09-11,Yes,12.0,No
CMP_000271,SPSV_00114,No Show,2025-01-07,Yes,24.0,No
CMP_000272,SPSV_02971,Conduct,2025-12-05,No,,Yes
CMP_000273,SPSV_01528,Overcharging,2023-04-25,Yes,17.0,No
CMP_000274,SPSV_03948,Conduct,2025-04-22,Yes,NA,No
CMP_000275,SPSV_00497,Vehicle Safety,2023-12-17,Yes,10.0,No
CMP_000276,SPSV_02965,Other,2022-03-26,Yes,21.0,No
CMP_000277,SPSV_01038,Refusal of Hire,2023-03-27,No,,No
CMP_000278,SPSV_00064,Other,2023-03-09,Yes,29.0,No
CMP_000279,SPSV_01766,Vehicle Safety,2022-03-29,Yes,18.0,No
CMP_000280,SPSV_00202,Refusal of Hire,2023-02-04,Yes,14.0,No
CMP_000281,SPSV_01267,No Show,2022-07-19,No,,No
CMP_000282,SPSV_03059,Conduct,2024-10-20,Yes,37.0,No
CMP_000283,SPSV_01718,Conduct,2022-01-08,Yes,22.0,No
CMP_000284,SPSV_04134,Overcharging,2025-08-27,Yes,12.0,Yes
CMP_000285,SPSV_00611,Overcharging,2023-07-08,Yes,9.0,No
CMP_000286,SPSV_00324,Vehicle Safety,2022-02-03,Yes,44.0,No
CMP_000287,SPSV_00528,Vehicle Safety,2023-11-17,Yes,11.0,No
CMP_000288,SPSV_02008,No Show,2024-02-26,Yes,8.0,No
CMP_000289,SPSV_04573,Overcharging,2022-07-14,Yes,9.0,No
CMP_000290,SPSV_00127,Overcharging,2025-09-13,Yes,28.0,No
CMP_000291,SPSV_02114,Conduct,2022-08-04,Yes,12.0,No
CMP_000292,SPSV_03806,Accessibility,2023-11-26,Yes,16.0,No
CMP_000293,SPSV_03191,Refusal of Hire,2023-12-10,No,,Yes
CMP_000294,SPSV_03403,Accessibility,2024-01-28,No,,No
CMP_000295,SPSV_03740,Overcharging,2024-08-09,No,,No
CMP_000296,SPSV_04768,Refusal of Hire,2022-02-09,Yes,30.0,No
CMP_000297,SPSV_00217,Accessibility,2023-07-25,No,,No
CMP_000298,SPSV_00837,Conduct,2023-01-29,Yes,8.0,No
CMP_000299,SPSV_01326,Overcharging,2023-11-04,Yes,7.0,No
CMP_000300,SPSV_04827,Conduct,2022-02-18,Yes,20.0,No
CMP_000301,SPSV_04623,Overcharging,2022-04-28,Yes,20.0,No
CMP_000302,SPSV_00314,Conduct,2023-09-18,Yes,24.0,No
CMP_000303,SPSV_00411,Conduct,2024-08-07,Yes,53.0,No
CMP_000304,SPSV_03991,Vehicle Safety,2022-01-21,No,,Yes
CMP_000305,SPSV_03455,Conduct,2022-11-08,Yes,9.0,No
CMP_000306,SPSV_01726,Other,2023-10-06,Yes,120.0,No
CMP_000307,SPSV_01262,Refusal of Hire,2025-07-27,Yes,13.0,No
CMP_000308,SPSV_00440,Overcharging,2024-01-16,Yes,7.0,No
CMP_000309,SPSV_00103,Conduct,2025-11-04,Yes,5.0,No
CMP_000310,SPSV_03371,Other,2023-10-13,No,,No
CMP_000311,SPSV_02527,Overcharging,2024-02-11,No,,No
CMP_000312,SPSV_01625,Accessibility,2025-04-10,Yes,7.0,No
CMP_000313,SPSV_04623,Accessibility,2024-03-24,Yes,20.0,No
CMP_000314,SPSV_02535,Refusal of Hire,2022-10-18,Yes,13.0,Yes
CMP_000315,SPSV_03310,Accessibility,2023-04-16,Yes,23.0,No
CMP_000316,SPSV_00291,No Show,2024-01-17,Yes,23.0,No
CMP_000317,SPSV_00545,No Show,2023-01-30,Yes,16.0,Yes
CMP_000318,SPSV_01332,Overcharging,2022-06-08,No,,Yes
CMP_000319,SPSV_02118,Refusal of Hire,2022-06-08,No,,No
CMP_000320,SPSV_04679,Accessibility,2025-03-23,Yes,14.0,No
CMP_000321,SPSV_00054,No Show,2022-09-17,Yes,14.0,No
CMP_000322,SPSV_02784,Vehicle Safety,2024-12-26,Yes,23.0,No
CMP_000323,SPSV_03138,Vehicle Safety,2022-07-08,No,,Yes
CMP_000324,SPSV_02721,Overcharging,2023-08-20,Yes,15.0,No
CMP_000325,SPSV_04659,Refusal of Hire,2024-04-20,Yes,3.0,No
CMP_000326,SPSV_00644,Other,2024-03-26,No,,No
CMP_000327,SPSV_04436,Overcharging,2024-11-21,Yes,NA,No
CMP_000328,SPSV_01220,Conduct,2023-04-30,Yes,12.0,No
CMP_000329,SPSV_04550,Other,2024-01-31,No,,No
CMP_000330,SPSV_02783,Refusal of Hire,2025-07-27,No,,Yes
CMP_000331,SPSV_01332,Accessibility,2023-12-13,Yes,30.0,No
CMP_000332,SPSV_03422,Other,2025-07-14,Yes,29.0,No
CMP_000333,SPSV_00595,Vehicle Safety,2022-02-02,Yes,20.0,No
CMP_000334,SPSV_01276,Vehicle Safety,2022-12-24,Yes,41.0,No
CMP_000335,SPSV_01982,Other,2025-02-16,No,,No
CMP_000336,SPSV_04062,Accessibility,2025-09-22,Yes,13.0,No
CMP_000337,SPSV_02357,Other,2023-05-19,No,,No
CMP_000338,SPSV_04978,Refusal of Hire,2024-09-07,Yes,28.0,No
CMP_000339,SPSV_02343,Vehicle Safety,2025-01-20,Yes,14.0,No
CMP_000340,SPSV_00078,Vehicle Safety,2024-08-18,Yes,17.0,No
CMP_000341,SPSV_02221,Accessibility,2024-07-11,Yes,14.0,No
CMP_000342,SPSV_04580,Refusal of Hire,2025-02-17,No,,No
CMP_000343,SPSV_02211,Vehicle Safety,2024-08-14,Yes,12.0,No
CMP_000344,SPSV_04714,Refusal of Hire,2023-07-10,Yes,1.0,No
CMP_000345,SPSV_00695,No Show,2023-09-28,No,,No
CMP_000346,SPSV_01168,Accessibility,2022-06-19,Yes,16.0,No
CMP_000347,SPSV_04566,Overcharging,2024-06-16,No,,Yes
CMP_000348,SPSV_04925,No Show,2025-07-01,No,,Yes
CMP_000349,SPSV_01785,Conduct,2022-02-27,Yes,10.0,No
CMP_000350,SPSV_04285,Conduct,2023-01-22,Yes,18.0,No
CMP_000351,SPSV_03891,Accessibility,2023-01-19,Yes,16.0,No
CMP_000352,SPSV_03658,Refusal of Hire,2022-10-28,Yes,24.0,No
CMP_000353,SPSV_01144,Conduct,2023-11-20,Yes,10.0,No
CMP_000354,SPSV_02345,Accessibility,2025-12-24,Yes,3.0,No
CMP_000355,SPSV_00184,Vehicle Safety,2024-11-19,Yes,5.0,No
CMP_000356,SPSV_01586,Refusal of Hire,2024-11-11,Yes,23.0,No
CMP_000357,SPSV_03929,Vehicle Safety,2024-05-18,Yes,12.0,No
CMP_000358,SPSV_00468,Overcharging,2022-09-26,Yes,12.0,Yes
CMP_000359,SPSV_03218,Overcharging,2023-07-18,Yes,17.0,No
CMP_000360,SPSV_02765,Vehicle Safety,2024-11-03,Yes,16.0,No
CMP_000361,SPSV_02365,Overcharging,2022-07-19,Yes,50.0,No
CMP_000362,SPSV_01763,Overcharging,2023-08-27,Yes,16.0,No
CMP_000363,SPSV_01648,Accessibility,2023-11-16,No,,Yes
CMP_000364,SPSV_04635,No Show,2024-03-05,Yes,12.0,No
CMP_000365,SPSV_03249,Refusal of Hire,2023-06-11,Yes,8.0,No
CMP_000366,SPSV_04360,Accessibility,2023-07-03,Yes,8.0,No
CMP_000367,SPSV_02055,No Show,2023-02-09,Yes,6.0,No
CMP_000368,SPSV_02507,Refusal of Hire,2025-06-17,No,,No
CMP_000369,SPSV_00283,Vehicle Safety,2024-10-07,Yes,8.0,No
CMP_000370,SPSV_04560,No Show,2022-07-26,Yes,7.0,No
CMP_000371,SPSV_00445,Conduct,2022-07-06,No,,No
CMP_000372,SPSV_01444,Conduct,2023-09-20,Yes,32.0,No
CMP_000373,SPSV_01378,No Show,2024-04-16,No,,No
CMP_000374,SPSV_00982,Overcharging,2023-06-14,Yes,12.0,No
CMP_000375,SPSV_03126,Conduct,2024-03-30,Yes,14.0,No
